Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-04-18,9.54266,11.2154,7.29,7.29,8602.308641619
2019-04-23,8.748,8.748,7.29,7.85077,156.481481475
2019-04-24,7.66385,8.86015,6.82269,8.22462,544.555555533
2019-04-25,7.93493,7.93493,6.82269,7.93493,59.4629629605
2019-04-26,8.12186,8.12186,6.91615,8.11246,109.5370370325
2019-04-29,8.10316,8.10316,7.00962,7.66385,258.716049372
2019-04-30,7.00962,7.92554,6.91615,7.92554,366.1666666515
2019-05-02,6.91615,7.92554,6.54231,7.02831,459.01234566
2019-05-06,7.02927,7.38346,7.02927,7.38346,43.814814813
2019-05-07,7.37416,7.38346,7.37416,7.38346,107.4506172795
2019-05-08,6.16846,7.38346,6.16846,7.38346,161.6975308575
2019-05-09,7.00962,7.00962,6.075,6.72923,95.975308638
2019-05-10,6.72923,7.94423,6.72923,7.94423,55.2901234545
2019-05-15,7.25166,7.25166,7.25166,7.25262,4.172839506
2019-05-16,7.19654,7.19654,7.19654,7.19654,213.8580246825
2019-05-20,7.27131,7.27131,7.27131,7.27131,8.345679012
2019-05-24,7.09378,7.09378,7.09378,7.09378,1.0432098765
2019-05-30,6.53301,7.29,5.42077,7.27131,1935.1543209075
2019-06-26,7.27035,7.27035,7.27035,7.27131,1.0432098765
2019-07-17,7.27131,7.27131,7.27131,7.27131,208.6419753
2019-07-18,6.35538,6.68255,5.42077,6.68255,250.37037036
2019-08-01,5.39278,5.39278,4.617,4.96286,663.481481454
2019-08-05,4.21516,5.42077,4.21516,4.617,319.222222209
2019-08-06,4.67308,4.67308,4.67308,4.67308,21.9074074065
2019-08-07,5.589,5.589,5.589,5.589,1.0432098765
2019-08-08,6.54231,6.54231,6.54231,6.54231,1.0432098765
2019-08-09,7.27131,7.27131,7.27131,7.27131,1.0432098765
2019-08-14,6.075,7.27131,6.075,7.27131,51.1172839485
2019-08-20,6.23393,6.23393,6.23393,6.23393,58.419753084
