Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-09-15,6.52169,6.52169,6.52169,6.52169,145566.66666601
1998-09-16,6.44971,6.44971,6.44971,6.44971,63165.948717662
1998-09-17,5.83706,5.83706,5.83706,5.83706,14338.358974294
1998-09-18,5.25463,5.25463,5.25463,5.25463,139169.74358911
1998-09-21,5.25463,5.25463,5.25463,5.25463,99639.692307239
1998-09-22,5.3687,5.3687,5.3687,5.3687,64972.20512791
1998-09-23,5.72901,5.72901,5.72901,5.72901,23630.256410149
1998-09-24,5.80107,5.80107,5.80107,5.80107,47620.410256194
1998-09-25,5.54288,5.54288,5.54288,5.54288,17060.71794864
1998-09-28,5.65695,5.65695,5.65695,5.65695,16750.461538385
1998-09-29,5.687,5.687,5.687,5.687,17217.53846146
1998-09-30,5.80107,5.80107,5.80107,5.80107,8422.051282013
1998-10-01,5.29062,5.29062,5.29062,5.29062,30894.769230629
1998-10-02,5.11042,5.11042,5.11042,5.11042,17290.871794793
1998-10-05,5.21847,5.21847,5.21847,5.21847,11555.076923024
1998-10-06,4.78619,4.78619,4.78619,4.78619,11420.820512769
1998-10-07,4.82217,4.82217,4.82217,4.82217,24827.282051169
1998-10-08,4.57009,4.57009,4.57009,4.57009,10288.102564056
1998-10-09,4.34779,4.34779,4.34779,4.34779,20211.794871703
1998-10-12,4.38395,4.38395,4.38395,4.38395,38597.02564085
1998-10-13,4.41985,4.41985,4.41985,4.41985,25763.692307575
1998-10-14,4.492,4.492,4.492,4.492,13391.794871734
1998-10-15,4.71404,4.71404,4.71404,4.71404,8707.4871794476
1998-10-16,4.85825,4.85825,4.85825,4.85825,19847.384615294
1998-10-19,4.96638,4.96638,4.96638,4.96638,10895.076923027
1998-10-20,4.93031,4.93031,4.93031,4.93031,10555.487179439
1998-10-21,5.07443,5.07443,5.07443,5.07443,3463.589743574
1998-10-22,5.32678,5.32678,5.32678,5.32678,11356.512820461
1998-10-23,5.44077,5.44077,5.44077,5.44077,13312.82051276
1998-10-26,5.44077,5.44077,5.44077,5.44077,16646.666666591
1998-10-27,5.44077,5.44077,5.44077,5.44077,30249.435897298
1998-10-28,5.44077,5.44077,5.44077,5.44077,35620.820512659
1998-10-29,5.44077,5.44077,5.44077,5.44077,22608.102564
1998-10-30,5.75906,5.75906,5.75906,5.75906,5100.6153845922
1998-11-02,5.72901,5.72901,5.72901,5.72901,3943.076923059
1998-11-03,5.65695,5.65695,5.65695,5.65695,6373.2307692018
1998-11-04,5.61485,5.61485,5.61485,5.61485,4967.4871794646
1998-11-05,5.72901,5.72901,5.72901,5.72901,9375.384615342
1998-11-06,5.29062,5.29062,5.29062,5.29062,3443.2820512664
1998-11-09,5.54288,5.54288,5.54288,5.54288,25595.589743473
1998-11-10,5.61485,5.61485,5.61485,5.61485,6915.897435866
1998-11-12,5.61485,5.61485,5.61485,5.61485,14485.02564096
1998-11-13,5.72901,5.72901,5.72901,5.72901,16468.410256335
1998-11-16,5.83706,5.83706,5.83706,5.83706,22986.051281947
1998-11-17,5.98127,5.98127,5.98127,5.98127,16565.435897361
1998-11-18,5.98127,5.98127,5.98127,5.98127,9558.1538461104
1998-11-19,5.75906,5.75906,5.75906,5.75906,12088.717948663
1998-11-20,5.5848,5.5848,5.5848,5.5848,8846.2564102162
1998-11-23,5.61485,5.61485,5.61485,5.61485,1088.717948713
1998-11-24,5.61485,5.61485,5.61485,5.61485,5518.0512820262
1998-11-25,5.44077,5.44077,5.44077,5.44077,662.2564102534
1998-11-26,5.80107,5.80107,5.80107,5.80107,26757.641025519
