Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-12-17,1.79,1.84,1.501,1.6,531242
2020-12-18,1.59,1.78,1.59,1.7,92788
2020-12-21,1.73,2.37,1.73,1.98,188265
2020-12-22,2,2,1.755,1.8502,78818
2020-12-23,1.9,1.9,1.8,1.9,21193
2020-12-28,1.9,1.9,1.55,1.62,73137
2020-12-29,1.7,1.7,1.58,1.58,44114
2020-12-30,1.59,1.59,1.42,1.49,69377
2021-01-04,1.45,1.6848,1.4,1.51,114666
2021-01-05,1.63,1.64,1.51,1.62,50320
2021-01-07,1.62,1.62,1.4426,1.5378,53250
2021-01-08,1.502,1.538,1.485,1.5,16269
2021-01-11,1.5,1.6,1.47,1.47,30138
2021-01-12,1.5,1.5,1.47,1.47,4927
2021-01-13,1.47,1.56,1.47,1.485,5185
2021-01-14,1.485,1.54,1.47,1.47,10013
2021-01-15,1.46,1.52,1.46,1.49,11523
2021-01-18,1.46,1.48,1.44,1.48,12205
2021-01-19,1.482,1.58,1.46,1.5,12636
2021-01-20,1.54,1.54,1.465,1.49,9296
2021-01-21,1.54,1.55,1.465,1.51,5706
2021-01-22,1.5,1.5,1.45,1.49,4672
2021-01-25,1.48,1.5,1.48,1.49,4655
2021-01-26,1.45,1.49,1.45,1.45,7108
2021-01-27,1.42,1.42,1.37,1.3998,25990
2021-01-28,1.3998,1.5,1.3998,1.5,11716
2021-01-29,1.4998,1.4998,1.44,1.44,1600
2021-02-01,1.4998,1.55,1.4,1.4,7121
2021-02-02,1.4,1.49,1.39,1.45,19750
2021-02-03,1.4,1.5,1.4,1.49,56894
2021-02-04,1.52,1.97,1.52,1.74,106148
2021-02-05,1.74,1.74,1.57,1.6,33495
2021-02-08,1.65,1.7,1.54,1.62,25918
2021-02-09,1.6,1.696,1.5,1.62,12519
2021-02-10,1.63,1.64,1.6,1.6,10284
2021-02-11,1.551,1.61,1.5004,1.55,19762
2021-02-12,1.5202,1.5202,1.404,1.5094,41049
2021-02-15,1.5094,1.51,1.41,1.45,29193
2021-02-16,1.52,1.52,1.45,1.509,10787
2021-02-17,1.49,1.49,1.4302,1.4898,20333
2021-02-18,1.45,1.47,1.44,1.455,5881
2021-02-19,1.456,1.4978,1.4104,1.4958,10795
2021-02-22,1.496,1.496,1.495,1.4952,2550
2021-02-23,1.498,1.498,1.41,1.47,17019
2021-02-24,1.47,1.47,1.42,1.458,1957
2021-02-25,1.45,1.47,1.415,1.416,11230
2021-02-26,1.417,1.4898,1.4,1.4884,28256
2021-03-01,1.4898,1.4898,1.4052,1.4894,9638
2021-03-02,1.4994,1.4994,1.44,1.4994,10543
2021-03-03,1.455,1.558,1.45,1.5398,9644
2021-03-04,1.5,1.7,1.5,1.6,34620
2021-03-05,1.55,1.63,1.45,1.5222,14894
2021-03-08,1.53,1.6,1.5,1.6,9429
2021-03-09,1.6,1.64,1.5518,1.5518,4814
2021-03-10,1.55,1.55,1.45,1.545,20608
2021-03-11,1.5498,1.5498,1.46,1.46,13287
2021-03-12,1.46,1.4998,1.4,1.4998,32625
2021-03-15,1.4994,1.4994,1.4202,1.4888,14048
2021-03-16,1.4884,1.52,1.42,1.4958,36068
2021-03-17,1.4312,1.5,1.431,1.48,11112
2021-03-18,1.485,1.485,1.485,1.485,201
2021-03-19,1.455,1.4848,1.43,1.4838,9695
2021-03-22,1.4838,1.485,1.4,1.45,16083
2021-03-23,1.485,1.485,1.4116,1.42,11038
2021-03-24,1.48,1.48,1.4116,1.4796,13827
2021-03-25,1.42,1.477,1.4,1.477,14327
2021-03-26,1.421,1.4778,1.42,1.42,16000
