Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-12-30,7.00445,7.00445,7.00445,7.00445,16993.777777469
2010-12-31,7.7085,8.98691,7.7085,8.98691,3702.1111110438
2011-01-03,11.0995,13.3192,11.0995,13.2333,19462.666666313
2011-01-04,13.2333,15.8048,12.9314,15.8048,11662.444444232
2011-01-05,16.092,17.2415,12.5722,12.5722,10671.222222028
2011-01-07,12.5681,13.6465,8.082,13.6465,11163.777777575
2011-01-10,11.8538,14.2241,11.8538,13.2905,5592.8888887872
2011-01-11,13.2005,13.2905,11.8538,13.2905,1108.5555555354
2011-01-12,13.2905,13.4697,13.2905,13.4517,263.9999999952
2011-01-13,13.4697,19.368,12.7694,17.9599,2418.7777777338
2011-01-14,17.9599,21.5517,17.9599,20.6902,3424.6666666044
2011-01-17,21.1214,23.8508,16.8971,21.5517,7063.2222220938
2011-01-18,22.9893,24.0668,18.8583,20.115,2407.777777734
2011-01-19,19.7558,27.9818,18.4991,27.9818,5598.9999998982
2011-01-20,26.9362,31.2505,20.4783,20.4783,13017.888888652
2011-01-21,20.4783,20.4783,16.3833,16.3833,14939.222221951
2011-01-24,13.1073,14.3681,10.4891,10.4891,30793.888888329
2011-01-25,10.3737,10.9555,8.49518,8.51645,13455.4444442
2011-01-26,9.12355,9.92864,8.082,8.44118,14618.999999734
2011-01-27,8.44118,8.62118,7.54323,7.61866,15857.111110823
2011-01-28,7.75514,7.75514,6.62727,6.96854,22636.777777366
2011-01-31,6.92902,8.262,6.4656,7.57915,15868.111110823
2011-02-01,7.36364,8.046,6.4656,8.028,24129.111110672
2011-02-02,7.54323,7.54323,7.11221,7.11221,10431.666666477
2011-02-03,7.18405,7.2918,6.11002,7.00445,13173.111110872
2011-02-04,7.18405,7.59715,6.4656,7.59715,13231.777777537
2011-02-07,7.90282,7.90282,7.13013,7.54323,1255.2222221994
2011-02-08,7.18405,7.54323,6.82486,7.14813,1915.2222221874
2011-02-09,7.14453,7.38164,6.73503,6.96854,2045.9999999628
2011-02-10,6.82486,6.96854,6.13154,6.13154,6372.6666665508
2011-02-11,6.28601,6.53392,5.92683,6.53392,3409.999999938
2011-02-14,6.64527,6.71711,6.12442,6.64527,1834.5555555222
2011-02-15,6.10642,6.53744,5.75084,5.78315,12007.111110893
2011-02-16,5.85499,5.92683,5.02879,5.92683,17179.555555243
2011-02-17,5.81547,6.28601,5.24438,5.54245,9013.888888725
2011-02-18,5.2803,5.89091,5.2803,5.45989,1139.1111110904
2011-02-21,5.37005,5.43829,5.2803,5.2803,1141.5555555348
2011-02-22,5.28382,5.99866,5.2803,5.74724,10673.666666473
2011-02-23,5.38805,5.71132,5.38805,5.70052,1030.3333333146
2011-02-24,5.42397,5.58556,5.02879,5.20846,4329.1111110324
2011-02-25,5.29822,5.38805,5.04679,5.37365,5726.111111007
2011-02-28,5.37725,5.48861,5.04679,5.30542,7547.222222085
2011-03-01,5.22278,5.44549,4.96055,5.20846,16528.111110811
2011-03-02,5.20846,5.20846,4.8492,5.18326,7708.5555554154
2011-03-03,5.15455,5.2803,4.99647,4.99647,1263.7777777548
2011-03-04,5.03239,6.0705,4.8528,6.0705,16349.666666369
2011-03-07,6.10642,6.39376,5.38805,5.81907,4407.3333332532
2011-03-08,5.6754,5.74724,5.38805,5.6754,1862.6666666328
2011-03-09,5.6754,8.154,5.38805,6.4656,70286.333332055
2011-03-10,6.50152,7.41395,6.01306,6.59135,37986.666665976
2011-03-11,6.60575,6.93262,6.00226,6.42968,14523.666666403
2011-03-14,6.28601,6.4656,5.75804,5.81907,4993.9999999092
2011-03-15,5.76515,6.03458,5.53173,5.92683,2316.111111069
2011-03-16,5.74724,6.02378,5.45989,5.92683,2080.2222221844
2011-03-17,5.89091,5.89091,5.45989,5.74724,2346.666666624
2011-03-18,5.58556,5.83699,5.42397,5.69332,5701.666666563
2011-03-21,5.69332,5.69332,5.31622,5.31622,1725.7777777464
2011-03-22,5.29822,5.45989,4.98575,5.38805,11512.111110902
2011-03-23,5.06831,5.35214,5.02879,5.33414,3490.6666666032
2011-03-24,5.31622,5.31622,5.06471,5.31262,642.8888888772
2011-03-25,5.31262,5.31262,5.02879,5.20486,4002.777777705
2011-03-28,5.20126,5.33414,5.11863,5.11863,1706.2222221912
2011-03-29,5.20846,5.33414,4.95695,5.20846,1409.2222221966
2011-03-30,5.19046,5.19046,4.92104,5.15455,2254.999999959
2011-03-31,5.11503,5.20846,4.92104,5.19046,2171.8888888494
2011-04-01,5.16895,5.16895,4.92464,5.10063,4635.8888888046
2011-04-04,5.02879,5.60356,4.92464,5.47421,6191.7777776652
2011-04-05,5.2623,6.03458,5.20846,6.03458,22201.666666263
2011-04-06,5.99866,6.8967,5.85499,6.42608,45901.777776943
2011-04-07,6.42256,6.42608,5.60716,5.85499,4843.6666665786
2011-04-08,5.85499,6.28601,5.81907,6.17825,5155.3333332396
2011-04-11,6.21417,8.046,6.21417,7.07629,37410.99999932
2011-04-12,7.16245,7.32412,6.28601,6.28601,12533.888888661
2011-04-13,6.39016,6.63807,5.81907,5.81907,20327.99999963
2011-04-14,5.81907,6.25009,5.64668,5.85499,9052.9999998354
2011-04-15,5.81907,6.17825,5.6754,5.69332,20367.111110741
2011-04-18,5.69692,6.05258,5.02879,5.02879,32511.11111052
2011-04-19,5.15455,5.33414,4.97855,5.02879,29033.888888361
2011-04-20,5.02879,5.92323,4.99647,5.45629,92797.222220535
2011-04-21,5.48861,5.74724,4.99287,5.63948,68122.999998761
2011-04-26,5.63948,6.0921,5.39165,5.74724,34053.555554936
2011-04-27,5.76515,5.76515,5.30542,5.54245,26210.555555079
2011-04-28,5.56765,5.57836,5.32334,5.32694,15083.44444417
2011-04-29,5.24438,5.38445,5.08631,5.38445,8821.9999998396
2011-05-02,5.37005,5.38805,5.06471,5.21558,7928.5555554114
2011-05-04,5.2479,5.38805,5.20846,5.37005,8941.7777776152
2011-05-05,5.45989,5.45989,5.14375,5.40597,3616.5555554898
2011-05-06,5.2623,5.2623,5.02879,5.13655,17889.666666341
2011-05-09,5.11143,5.15455,5.02879,5.15455,12619.444444215
2011-05-10,5.15455,5.2731,4.96415,5.19046,8856.2222220612
2011-05-11,5.20846,5.24438,5.04679,5.22998,2923.5555555024
2011-05-12,5.21558,5.23358,5.03599,5.11863,9503.9999998272
2011-05-13,5.05039,5.05039,4.97855,5.02879,1803.9999999672
2011-05-16,5.02879,5.15095,4.97855,5.15095,4239.8888888118
2011-05-17,5.15455,5.37005,5.15095,5.31622,6753.9999998772
2011-05-18,5.29822,5.29822,4.99287,5.02879,3919.6666665954
2011-05-19,5.02879,5.11863,4.88512,5.02879,2385.7777777344
2011-05-20,5.02879,5.02879,4.99287,5.02879,821.3333333184
2011-05-23,5.04679,5.04679,5.02879,5.02879,1411.666666641
2011-05-24,4.99647,5.08271,4.18467,4.48642,14958.777777506
2011-05-25,4.30323,4.43258,3.87941,4.25291,54512.333332342
2011-05-26,4.11644,4.58345,4.11644,4.34635,12684.222221992
2011-05-27,4.31043,4.50802,4.29243,4.42898,7873.5555554124
2011-05-30,4.4505,4.4721,4.13084,4.4505,1764.8888888568
2011-05-31,4.42898,4.42898,4.09492,4.29243,5534.2222221216
2011-06-01,4.29243,4.29243,4.0446,4.24579,5191.9999999056
2011-06-02,4.23499,4.25291,3.77165,4.25291,25504.111110647
2011-06-03,4.21699,4.21699,3.84349,4.0554,4679.8888888038
2011-06-06,3.94765,4.27451,3.77165,4.0446,14373.333333072
2011-06-07,4.041,4.13084,3.95125,4.13084,1289.444444421
2011-06-08,3.98716,4.19907,3.95125,4.059,3159.444444387
2011-06-09,4.059,4.40738,4.059,4.28891,7873.5555554124
2011-06-10,4.29243,4.37866,4.16675,4.37866,7614.444444306
2011-06-13,4.37146,4.37146,4.07692,4.25291,2004.444444408
2011-06-14,4.31043,4.31043,3.99436,4.12724,1865.1111110772
2011-06-15,4.13084,4.27451,3.93325,3.96916,4111.5555554808
2011-06-16,4.02668,4.31043,4.00508,4.28891,5514.6666665664
2011-06-17,4.0482,4.30323,3.95125,4.30323,4423.2222221418
2011-06-20,4.09492,4.29603,4.02668,4.29603,2305.1111110692
2011-06-21,4.02308,4.23859,3.96916,3.98716,6662.3333332122
2011-06-22,3.98716,4.09132,3.78957,3.97996,3187.5555554976
2011-06-24,3.97996,4.13084,3.77165,4.09492,8198.6666665176
2011-06-27,3.95125,4.02308,3.77165,4.00508,4557.6666665838
2011-06-28,3.73925,3.84349,3.60998,3.84349,1706.2222221912
2011-06-29,3.77165,3.97636,3.6459,3.97636,1409.2222221966
2011-06-30,3.91533,4.11644,3.73574,4.11644,6801.666666543
2011-07-01,3.98356,3.98716,3.91533,3.98716,2477.4444443994
2011-07-04,4.02308,4.12004,3.77165,3.99076,11004.888888689
2011-07-05,3.86141,4.11644,3.77165,4.10924,17870.111110786
2011-07-06,4.059,4.059,3.77165,3.95125,8440.6666665132
2011-07-07,3.70334,3.98716,3.70334,3.95125,7695.1111109712
2011-07-08,3.97996,4.059,3.75725,3.94765,3557.8888888242
2011-07-11,3.94765,3.94765,3.94765,3.94765,28.1111111106
2011-07-12,3.77165,3.87941,3.66382,3.87941,1773.4444444122
2011-07-13,3.85781,3.85781,3.59198,3.78957,12396.999999775
2011-07-14,3.77165,3.77165,3.39447,3.69622,5231.111111016
