Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-06-30,36.9738,38.1914,36.2169,36.8751,1761.4999999458
2017-07-03,37.4677,37.4677,35.8874,36.7763,2531.7499999221
2017-07-04,36.7763,37.8295,36.7763,37.8295,81.2499999975
2017-07-05,37.8295,37.8425,37.8295,37.8425,75.833333331
2017-07-06,37.8295,37.8295,37.8295,37.8295,30.3333333324
2017-07-07,37.7631,37.7631,37.7631,37.7631,16.2499999995
2017-07-10,37.0394,37.0394,37.0394,37.0394,2.1666666666
2017-07-11,36.8751,36.8751,36.8751,36.8751,2.1666666666
2017-07-12,36.8751,36.8751,36.8751,36.8751,2.1666666666
2017-07-13,36.8751,36.8751,36.8751,36.8751,2.1666666666
2017-07-14,36.8751,37.3357,36.2169,37.3357,36.8333333322
2017-07-17,36.8751,37.2637,36.8751,37.2637,41.1666666654
2017-07-18,37.5,40.7926,37.5,38.8495,6586.666666464
2017-07-19,38.8495,39.4957,38.7517,38.8495,3036.5833332399
2017-07-20,38.9169,39.4957,38.6852,38.8495,9557.1666663726
2017-07-21,39.4034,39.5548,37.5,38.8495,16701.749999486
2017-07-24,39.1523,39.1523,37.5332,37.6117,3730.9999998852
2017-07-25,38.2837,38.6926,37.9274,38.4425,950.0833333041
2017-07-26,38.3898,38.3898,38.1914,38.3898,9083.7499997205
2017-07-27,38.4554,38.6658,36.2298,37.0062,7876.9166664243
2017-07-28,37.7972,38.0603,36.8806,38.04,2403.9166665927
2017-07-31,38.0003,38.1858,37.9874,38.1858,538.4166666501
2017-08-01,38.1914,38.1914,38.1194,38.1914,2078.9166666027
2017-08-02,38.1914,38.1914,37.2434,38.1785,1099.5833332995
2017-08-03,38.1785,38.1785,37.4806,37.5332,738.8333333106
2017-08-04,37.5332,37.5332,37.3228,37.5332,5367.9166665015
2017-08-07,37.5332,38.0529,37.3154,38.0529,582.8333333154
2017-08-08,37.5332,37.9874,37.5332,37.9874,212.3333333268
2017-08-09,37.8554,37.8554,36.8225,37.5277,1836.2499999435
2017-08-10,37.2037,37.5138,36.2622,37.2702,723.6666666444
2017-08-11,36.8677,36.9609,36.8677,36.9609,109.4166666633
2017-08-14,36.8751,37.0791,36.8751,37.0006,132.1666666626
2017-08-16,37.0006,37.0006,36.8751,36.8751,47.6666666652
2017-08-17,37.0458,37.0458,35.4988,36.5446,706.3333333116
2017-08-18,35.5643,36.5446,34.8997,36.4597,1388.8333332906
2017-08-21,36.4597,36.4597,35.5588,36.2751,562.2499999827
2017-08-22,36.2751,36.4274,35.5588,36.2169,291.4166666577
2017-08-23,36.3609,36.3609,35.5588,36.2169,653.2499999799
2017-08-24,36.2169,36.2169,35.7554,36.2086,259.999999992
2017-08-25,36.2086,36.2086,35.6898,36.2086,847.1666666406
2017-08-28,36.2086,36.2086,35.8874,35.8874,179.8333333278
2017-08-29,35.7554,36.2169,34.8997,35.7757,1102.8333332994
2017-08-30,36.2031,36.2031,35.7554,35.7554,558.9999999828
2017-08-31,35.2283,36.1837,34.9062,36.0517,786.4999999758
2017-09-01,36.1837,36.1837,35.8874,35.8874,32.499999999
2017-09-04,35.8874,35.8874,35.5588,35.5588,291.4166666577
2017-09-05,35.4785,35.4914,35.3271,35.3271,328.2499999899
2017-09-06,35.5588,35.5588,34.0431,35.5588,6208.5833331423
2017-09-07,36.1837,36.1837,35.1618,35.5458,770.2499999763
2017-09-08,36.1514,36.1514,34.4326,35.4591,428.9999999868
2017-09-11,35.5514,35.5514,34.2406,35.4729,341.2499999895
2017-09-12,35.4591,35.4591,34.8997,35.2283,142.9999999956
2017-09-13,35.2606,35.4462,34.4252,35.4397,121.3333333296
2017-09-14,35.4203,35.4203,34.4252,35.4129,116.9999999964
2017-09-15,35.4258,35.4258,34.4455,35.2283,362.9166666555
2017-09-18,35.4258,35.4258,34.4511,35.1618,591.4999999818
2017-09-19,34.5702,35.1618,34.5702,35.1554,236.1666666594
2017-09-20,35.1554,35.2283,34.5766,35.1951,1291.3333332936
2017-09-21,34.8997,35.1951,34.7806,35.1886,119.166666663
2017-09-22,35.1618,35.1886,34.5702,35.1886,1067.0833333005
2017-09-25,35.1618,35.5191,34.6098,35.5191,368.333333322
2017-09-26,35.5191,35.5191,34.9062,35.4258,1038.9166666347
2017-09-27,35.4858,35.4858,34.6818,35.2283,428.9999999868
2017-09-28,35.4065,35.4065,34.5702,34.5702,2115.7499999349
2017-09-29,34.5702,34.8997,34.2406,34.2406,5192.4166665069
2017-10-02,31.9366,31.9366,26.208,27.6554,138132.58332908
2017-10-03,26.2403,26.2403,21.2031,21.2031,109124.16666331
2017-10-04,21.7228,23.4092,21.7228,22.5203,31056.999999044
2017-10-05,23.0068,23.0068,21.072,21.7292,9435.833333043
2017-10-06,21.7292,22.0265,19.9523,20.7351,60430.499998141
2017-10-09,20.4785,21.7163,20.4785,21.5908,7510.7499997689
2017-10-10,21.7228,21.7228,20.808,21.3942,3160.0833332361
2017-10-11,21.6895,22.3828,21.6831,22.1252,6866.1666664554
2017-10-12,22.3154,22.3754,21.072,21.072,8038.333333086
2017-10-13,21.6434,21.6434,21.072,21.5908,3336.666666564
2017-10-16,21.5982,21.5982,21.0775,21.552,453.9166666527
2017-10-17,21.5252,21.5252,21.072,21.2825,1577.3333332848
2017-10-18,21.4662,21.4662,20.8025,20.8025,3205.5833332347
2017-10-19,21.2695,21.2695,20.4185,20.6031,1829.7499999437
2017-10-20,20.6105,21.0065,20.2551,20.7222,2432.0833332585
2017-10-23,21.0065,21.0065,19.6172,20.3603,2898.9999999108
2017-10-24,20.3788,20.3926,19.1022,19.4788,4545.6666665268
2017-10-25,19.6089,19.6089,17.6529,18.7597,16210.999999501
2017-10-26,19.4123,19.4123,17.7849,18.1154,4709.2499998551
2017-10-27,17.9105,18.7671,17.9105,18.4505,2596.7499999201
2017-10-30,18.4505,18.6997,18.4505,18.6609,1268.5833332943
2017-10-31,18.6554,18.6554,18.2732,18.6425,837.4166666409
2017-11-02,18.3065,18.4375,18.2409,18.2732,3495.9166665591
2017-11-03,18.2732,18.2732,17.8902,18.2668,562.2499999827
2017-11-06,18.0489,18.2409,17.5809,18.2409,23471.499999278
2017-11-07,18.2594,18.2594,17.7785,17.976,888.333333306
2017-11-08,18.2594,18.2594,16.8646,17.1203,5822.9166664875
2017-11-09,17.1203,18.168,16.9237,17.6474,7532.4166664349
2017-11-10,17.772,18.1615,17.3502,17.6474,734.4999999774
2017-11-13,18.168,18.168,17.3834,17.3834,672.7499999793
2017-11-14,17.4489,17.5154,17.1858,17.4489,4002.9166665435
2017-11-15,17.4489,17.5154,17.1277,17.5089,2008.4999999382
2017-11-16,14.1895,15.396,13.2028,14.0585,134295.41666253
2017-11-17,14.1582,15.3092,13.8942,15.3092,14758.249999546
2017-11-20,15.276,15.6065,15.0849,15.6065,4088.4999998742
2017-11-21,15.6065,16.0015,15.4754,15.9886,8854.0833330609
2017-11-22,15.9886,15.9886,15.2105,15.9342,2658.4999999182
2017-11-23,15.7966,15.7966,15.3489,15.7182,3038.7499999065
2017-11-24,15.8031,15.8031,14.8154,15.7311,9176.9166663843
2017-11-27,15.5538,16.3302,15.5538,16.1326,7806.4999997598
2017-11-28,16.3569,16.3569,15.8686,16.3302,4879.3333331832
2017-11-29,16.1852,16.3754,15.8031,16.0671,13645.666666247
2017-11-30,15.9018,16.0671,15.0258,15.4089,13900.249999572
2017-12-01,15.6526,15.6526,14.8218,15.4809,1790.7499999449
2017-12-04,15.7311,15.7311,14.5855,15.1117,7437.0833331045
2017-12-05,14.8154,14.8154,14.4535,14.7822,2272.8333332634
2017-12-06,14.7434,14.7434,14.1249,14.4212,3969.3333332112
2017-12-07,14.4868,14.4868,13.5969,14.1582,37119.333332191
2017-12-08,14.1582,14.1582,13.9126,13.9126,1272.9166666275
2017-12-11,13.8942,14.0917,13.8942,14.0917,1557.8333332854
2017-12-12,14.1582,14.1582,13.5314,13.9265,1067.0833333005
2017-12-13,14.1508,14.1582,13.7298,14.0852,3151.4166665697
2017-12-14,14.0917,14.0917,13.1695,13.584,15997.583332841
2017-12-15,13.4852,13.7483,13.1695,13.7483,20402.416666039
2017-12-18,13.7483,13.7483,13.2489,13.3348,1817.8333332774
2017-12-19,13.3348,14.4212,13.3348,13.7622,32400.333332336
2017-12-20,13.7622,14.1443,13.5969,14.0197,2510.0833332561
2017-12-21,13.8997,14.2634,13.6957,14.2634,88893.999997265
2017-12-22,14.0723,14.4868,13.9662,13.9662,13193.916666261
2017-12-27,13.9597,13.9662,13.4991,13.9458,10521.33333301
2017-12-28,13.9458,14.1443,13.8286,14.1443,2043.1666666038
2017-12-29,14.1378,14.1378,13.8471,13.8738,3052.8333332394
2018-01-03,14.4868,14.4868,13.8286,14.3548,888.333333306
2018-01-04,14.4868,14.7498,14.4212,14.6834,1356.3333332916
2018-01-05,14.8818,15.276,14.6178,15.276,3236.9999999004
2018-01-08,15.3425,15.672,14.7498,15.4754,5121.9999998424
2018-01-09,15.3425,15.3425,14.4212,14.6834,9153.0833330517
2018-01-10,14.6178,14.6178,14.3548,14.3548,2297.7499999293
2018-01-11,14.6178,14.7498,14.2892,14.7498,1600.0833332841
2018-01-12,14.8154,15.0129,14.3548,15.0129,761.5833333099
2018-01-15,15.1449,15.1449,14.7498,15.0794,493.9999999848
2018-01-16,15.0794,15.1449,14.4868,15.0129,5392.8333331674
2018-01-17,15.0129,16.5942,14.8818,16.5942,64658.74999801
2018-01-18,16.9237,17.6474,16.7917,17.5809,21103.333332684
2018-01-19,17.7129,17.7785,17.1203,17.2523,1991.1666666054
2018-01-22,17.4489,17.5154,17.0548,17.5154,2339.999999928
2018-01-23,17.7785,18.8326,17.7785,18.5695,39502.666665451
2018-01-24,18.9637,19.6228,18.504,19.3588,13901.333332906
2018-01-25,19.6228,19.6228,18.4375,18.4375,14769.083332879
2018-01-26,18.372,19.0292,18.108,19.0292,4832.7499998513
2018-01-29,19.0957,19.8203,19.0957,19.7548,9218.0833330497
2018-01-30,19.9523,19.9523,19.5572,19.5572,3399.4999998954
2018-01-31,19.8203,20.676,19.4917,20.2145,13398.666666254
2018-02-01,20.6105,20.676,18.6351,19.9523,18589.999999428
2018-02-02,19.9523,20.28,19.7548,19.9523,2411.4999999258
2018-02-05,19.4262,19.4262,18.372,18.6351,5755.7499998229
2018-02-06,18.0425,18.4375,16.5942,18.2409,11628.499999642
2018-02-07,18.504,19.0292,18.504,18.7671,2417.9999999256
2018-02-08,18.7671,18.7671,17.7129,18.4375,1570.833333285
2018-02-09,17.8449,18.4375,17.7785,18.4375,1211.1666666294
2018-02-12,18.4375,19.0957,17.7785,18.6351,2411.4999999258
2018-02-13,18.6351,18.8326,18.0425,18.4375,1719.2499999471
2018-02-14,18.372,18.372,18.0425,18.2409,1398.5833332903
2018-02-15,18.2409,18.2409,18.0425,18.108,277.3333333248
2018-02-16,18.108,18.108,17.1858,17.7129,1478.7499999545
2018-02-19,17.7129,17.7785,17.1203,17.3834,2358.4166665941
2018-02-20,17.4489,17.4489,17.1203,17.3834,259.999999992
2018-02-21,17.3834,17.3834,16.7917,17.2523,5371.1666665014
2018-02-22,17.7129,17.7129,16.9892,17.5809,1865.4999999426
2018-02-23,17.5809,19.0957,17.5809,18.372,6081.8333331462
2018-02-26,18.7671,19.4917,18.5695,19.0292,3810.0833332161
2018-02-27,19.0292,19.4917,19.0292,19.2932,1510.1666666202
2018-02-28,19.1612,19.1612,17.4489,18.4375,4453.5833331963
2018-03-01,18.108,18.5695,18.108,18.372,722.5833333111
2018-03-02,18.108,18.9637,18.0425,18.4375,1753.9166666127
2018-03-05,18.4375,18.4375,18.108,18.4375,166.8333333282
2018-03-06,18.8982,18.8982,18.2409,18.7671,279.4999999914
2018-03-07,19.1612,19.1612,18.7671,19.0292,1840.5833332767
2018-03-08,19.1612,19.2268,18.7671,19.0957,449.5833333195
2018-03-09,19.0957,19.1612,18.5695,19.1612,881.8333333062
2018-03-12,19.0957,19.0957,19.0292,19.0292,262.1666666586
2018-03-13,19.0957,19.0957,18.3065,18.3065,605.5833333147
2018-03-14,18.3065,18.9637,18.3065,18.9637,112.6666666632
2018-03-15,18.4375,18.4375,17.2523,17.6474,6180.4166664765
2018-03-16,17.5809,17.976,17.5809,17.976,794.0833333089
2018-03-19,17.5809,17.976,17.5809,17.9105,747.499999977
2018-03-20,18.0425,18.0425,16.5277,17.7785,4798.0833331857
2018-03-21,18.3065,18.3065,18.1745,18.2409,412.7499999873
2018-03-22,18.2409,18.2409,17.5154,17.7129,1926.1666666074
2018-03-23,17.7785,17.7785,16.9237,17.6474,8767.4166663969
2018-03-26,17.5809,17.5809,17.1858,17.1858,620.7499999809
2018-03-27,16.9892,17.2523,16.4612,16.7252,7489.0833331029
2018-03-28,17.1203,17.1203,16.4612,16.5942,2643.333333252
2018-03-29,17.1858,17.1858,16.5942,16.5942,7097.9999997816
2018-04-03,16.5942,16.8572,16.4612,16.8572,440.9166666531
2018-04-04,17.3178,17.3178,16.9237,16.9237,63.9166666647
2018-04-05,16.9237,16.9237,16.5277,16.5277,484.2499999851
2018-04-06,16.4612,16.7917,16.4612,16.7917,409.4999999874
2018-04-09,16.7917,16.7917,16.7917,16.7917,3.2499999999
2018-04-10,16.4612,16.7917,16.3302,16.7917,1263.1666666278
2018-04-11,16.9237,16.9237,16.9237,16.9237,289.2499999911
2018-04-12,16.9892,17.1203,16.1982,17.1203,3217.499999901
2018-04-13,17.1203,17.1203,16.4612,17.1203,792.9999999756
2018-04-16,17.1203,17.1203,16.3302,17.1203,586.0833333153
2018-04-17,17.1203,17.1203,17.1203,17.1203,2.1666666666
2018-04-18,17.1203,17.1203,16.4612,17.1203,503.7499999845
2018-04-19,17.1203,17.1203,16.4612,16.9892,302.2499999907
2018-04-20,16.9892,16.9892,16.3302,16.3302,1452.7499999553
2018-04-23,15.8031,16.2637,15.7375,16.0015,2832.9166665795
2018-04-24,15.8031,16.0671,15.0129,15.8031,5498.9999998308
2018-04-25,16.0671,16.0671,14.8154,14.8154,2388.7499999265
2018-04-26,15.7375,15.7375,14.7498,15.1449,876.4166666397
2018-04-27,16.1326,16.1326,15.1449,15.276,290.3333333244
2018-04-30,15.1449,15.5409,15.1449,15.4089,1331.4166666257
2018-05-02,15.6065,15.6065,15.0129,15.4754,171.1666666614
2018-05-04,15.3425,16.1326,15.3425,15.9342,1308.6666666264
2018-05-07,16.1982,16.1982,15.4089,15.4754,1757.1666666126
2018-05-08,16.1326,16.1326,15.1449,15.7375,2290.1666665962
2018-05-09,16.0015,16.0015,15.1449,15.1449,810.3333333084
2018-05-10,15.8031,15.8031,14.6834,15.276,3182.8333332354
2018-05-11,15.276,15.3425,14.6834,15.3425,230.7499999929
2018-05-14,15.6065,15.6065,14.6178,15.276,3472.0833332265
2018-05-15,15.5409,15.5409,14.5523,15.4089,929.4999999714
2018-05-16,15.0794,15.0794,14.4868,14.4868,1854.6666666096
2018-05-17,14.8154,15.0794,14.8154,15.0794,280.5833333247
2018-05-18,15.0794,15.4754,14.3548,15.4089,4637.7499998573
2018-05-21,15.4754,15.5409,15.1449,15.1449,725.833333311
2018-05-22,15.4089,15.4089,15.4089,15.4089,2.1666666666
2018-05-23,15.6065,15.6065,14.8818,15.276,385.6666666548
2018-05-24,15.3425,15.3425,14.2892,15.2105,738.8333333106
2018-05-25,15.1449,15.1449,14.3548,15.1449,1192.7499999633
2018-05-28,14.4868,14.4868,13.3671,14.0917,3221.8333332342
2018-05-29,14.2892,14.2892,13.6302,14.0917,393.2499999879
2018-05-30,13.8286,13.8286,12.1818,12.3794,8065.4166664185
2018-06-01,11.3585,12.0166,10.9311,11.5237,26060.666665865
2018-06-04,11.5569,12.1818,11.5569,12.1818,315.2499999903
2018-06-05,12.2806,12.9388,12.1495,12.4449,1316.2499999595
2018-06-06,12.3462,13.1031,12.3462,13.1031,1847.0833332765
2018-06-07,13.1031,13.4991,13.1031,13.1695,1509.0833332869
2018-06-08,13.4326,13.4991,12.7745,13.1695,1776.666666612
2018-06-11,13.4326,13.4326,12.5769,13.236,2276.0833332633
2018-06-12,13.4326,13.4326,13.1031,13.1031,147.3333333288
2018-06-13,13.236,13.236,12.7089,12.84,487.499999985
2018-06-14,12.84,12.84,12.84,12.84,1411.5833332899
2018-06-15,12.84,12.84,12.5105,12.5105,1522.0833332865
2018-06-18,12.8077,12.8077,11.8523,12.0166,1559.999999952
2018-06-19,11.9843,11.9843,11.7212,11.8523,736.666666644
2018-06-20,11.8523,11.8523,11.5237,11.7212,2373.5833332603
2018-06-21,11.7212,11.7212,11.0954,11.1932,4176.2499998715
2018-06-22,11.0954,11.1932,11.0631,11.1932,2202.4166665989
2018-06-25,12.2437,12.2437,11.1932,11.6142,1739.8333332798
2018-06-26,11.7185,11.8588,11.2985,11.8237,17267.249999469
2018-06-27,11.7535,11.7886,11.6142,11.7886,9453.1666663758
2018-06-28,11.6492,11.7185,11.6492,11.7185,203.6666666604
2018-06-29,11.6843,11.7886,11.544,11.7886,2319.4166665953
2018-07-02,11.7886,12.2437,11.7535,12.0342,34068.666665618
2018-07-03,12.0342,12.2437,12.0342,12.2437,1837.3333332768
2018-07-04,12.2437,12.2437,12.2437,12.2437,602.3333333148
2018-07-05,12.2437,12.2437,12.1735,12.2437,354.2499999891
2018-07-06,12.2437,12.2437,11.8237,12.2086,2190.4999999326
2018-07-09,12.2086,12.2086,12.2086,12.2086,2.1666666666
2018-07-10,12.2086,12.2086,12.0342,12.2086,720.4166666445
2018-07-11,12.2086,12.2086,12.2086,12.2086,2.1666666666
2018-07-12,12.1385,12.1385,11.3686,11.7886,908.9166666387
2018-07-13,12.0692,12.0692,11.4046,11.544,363.9999999888
