Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-02-21,4.53,5.5,4.31,4.31,451725
2008-02-22,4.3,4.3,3.19,3.19,79270
2008-02-25,3.1,3.41,2.7,3,82167
2008-02-26,3.12,3.18,3,3.15,9027
2008-02-27,3.3,4.45,3.16,4.4,46288
2008-02-28,4.44,4.44,3.7,3.9,26904
2008-02-29,3.68,3.68,2.38,2.4,447748
2008-03-03,2.38,2.38,1.91,1.95,422386
2008-03-04,2.01,2.09,1.9,1.9,235340
2008-03-05,1.9,2.04,1.75,1.99,144129
2008-03-06,1.96,1.96,1.77,1.79,121952
2008-03-07,1.79,1.79,1.67,1.73,54234
2008-03-10,1.73,1.92,1.6,1.87,86741
2008-03-11,1.87,1.92,1.77,1.84,53989
2008-03-12,1.81,1.82,1.75,1.77,20093
2008-03-13,1.77,1.8,1.7,1.78,23575
2008-03-14,1.79,1.8,1.7,1.74,25800
2008-03-17,1.68,1.68,1.4,1.5,77783
2008-03-18,1.44,1.48,1.38,1.4,27925
2008-03-19,1.57,1.57,1.34,1.47,27709
2008-03-20,1.4,1.73,1.4,1.66,139366
2008-03-25,1.69,1.69,1.47,1.54,63003
2008-03-26,1.47,1.5,1.39,1.39,51124
2008-03-27,1.37,1.47,1.35,1.43,31117
2008-03-28,1.43,1.43,1.37,1.38,24505
2008-03-31,1.31,1.42,1.3,1.36,30298
2008-04-01,1.36,1.36,1.29,1.3,43856
2008-04-02,1.38,1.38,1.31,1.32,29180
2008-04-03,1.35,1.53,1.35,1.47,193016
2008-04-04,1.5,1.5,1.37,1.41,28723
2008-04-07,1.4,1.43,1.36,1.38,25009
2008-04-08,1.41,1.41,1.34,1.34,21769
2008-04-09,1.39,1.39,1.3,1.3,10199
2008-04-10,1.29,1.37,1.26,1.31,43239
2008-04-11,1.33,1.4,1.32,1.32,52755
2008-04-14,1.3,1.37,1.3,1.37,9968
2008-04-15,1.41,1.41,1.32,1.34,23213
2008-04-16,1.36,1.4,1.33,1.37,23226
2008-04-17,1.37,1.38,1.34,1.34,8755
2008-04-18,1.35,1.35,1.31,1.33,6525
2008-04-21,1.33,1.33,1.26,1.3,16909
2008-04-22,1.28,1.3,1.25,1.25,17381
2008-04-23,1.23,1.23,1.17,1.22,7849
2008-04-24,1.24,1.24,1.24,1.24,10
2008-04-25,1.2,1.3,1.19,1.3,37023
2008-04-28,1.3,1.34,1.27,1.32,2970
2008-04-29,1.31,1.31,1.23,1.23,9470
2008-04-30,1.21,1.32,1.07,1.16,31870
2008-05-05,1.2,1.2,1.2,1.2,100
2008-05-06,1.11,1.16,1.11,1.16,1500
2008-05-07,1.14,1.16,1.11,1.16,3687
2008-05-08,1.14,1.17,1.12,1.17,2513
2008-05-09,1.13,1.13,1.12,1.12,800
2008-05-12,1.12,1.12,1.04,1.12,15269
2008-05-13,1.18,1.18,1.13,1.15,1010
2008-05-14,1.17,1.17,1.09,1.1,1150
2008-05-15,1.13,1.13,1.1,1.13,878
2008-05-16,1.16,1.16,1.16,1.16,6
2008-05-19,1.05,1.16,1.05,1.16,6680
2008-05-20,1.17,1.17,1.17,1.17,50
2008-05-21,1.06,1.15,1.02,1.13,4697
2008-05-23,1.14,1.16,1.05,1.11,1825
2008-05-26,1.03,1.11,1.01,1.1,13851
2008-05-27,1.01,1.06,1,1.01,31840
2008-05-28,1,1,0.99,1,8700
2008-05-29,1,1.12,0.95,1.11,7182
2008-05-30,1.04,1.11,1.01,1.11,3470
2008-06-03,1.01,1.09,0.96,1.08,7153
2008-06-04,1.07,1.07,1.07,1.07,1100
2008-06-05,1.01,1.07,0.97,0.99,25524
2008-06-06,0.96,0.98,0.92,0.92,16559
2008-06-09,0.91,0.92,0.85,0.85,11977
2008-06-10,0.85,0.89,0.83,0.89,6629
2008-06-11,0.94,0.94,0.81,0.81,2643
2008-06-12,0.88,0.88,0.8,0.85,7058
2008-06-13,0.8,0.85,0.8,0.85,11500
2008-06-16,0.77,0.84,0.74,0.8,7201
2008-06-17,0.75,0.82,0.72,0.78,33152
2008-06-18,0.77,0.79,0.74,0.74,19266
2008-06-19,0.74,0.78,0.71,0.75,20640
2008-06-20,0.76,0.76,0.75,0.76,430
2008-06-23,0.75,0.75,0.73,0.73,3600
2008-06-24,0.75,0.75,0.72,0.75,47686
2008-06-25,0.75,0.75,0.69,0.75,3050
2008-06-26,0.75,0.83,0.72,0.8,13089
2008-06-27,0.74,0.75,0.7,0.74,12793
2008-06-30,0.73,0.73,0.71,0.71,1480
2008-07-01,0.73,0.74,0.67,0.67,9994
2008-07-02,0.73,0.76,0.72,0.76,6456
2008-07-03,0.73,0.73,0.73,0.73,100
2008-07-04,0.73,0.73,0.7,0.7,1480
