Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-04-08,20.577,20.577,20.577,20.577,69464
1998-04-09,19.127,19.127,19.127,19.127,9347
1998-04-14,18.583,18.583,18.583,18.583,18369
1998-04-15,18.492,18.492,18.492,18.492,7032
1998-04-16,18.401,18.401,18.401,18.401,3492
1998-04-17,17.404,17.404,17.404,17.404,4132
1998-04-20,17.495,17.495,17.495,17.495,11158
1998-04-21,17.858,17.858,17.858,17.858,9086
1998-04-22,18.311,18.311,18.311,18.311,11291
1998-04-23,18.039,18.039,18.039,18.039,11045
1998-04-24,18.039,18.039,18.039,18.039,12755
1998-04-27,17.948,17.948,17.948,17.948,6381
1998-04-28,17.495,17.495,17.495,17.495,2369
1998-04-29,17.314,17.314,17.314,17.314,5265
1998-04-30,17.495,17.495,17.495,17.495,2319
1998-05-04,17.223,17.223,17.223,17.223,2114
1998-05-05,17.132,17.132,17.132,17.132,3023
1998-05-06,16.317,16.317,16.317,16.317,1233
1998-05-07,16.317,16.317,16.317,16.317,4158
1998-05-08,15.41,15.41,15.41,15.41,5932
1998-05-11,15.41,15.41,15.41,15.41,5172
1998-05-12,15.047,15.047,15.047,15.047,761
1998-05-13,14.141,14.141,14.141,14.141,2926
1998-05-14,13.96,13.96,13.96,13.96,10963
1998-05-15,13.778,13.778,13.778,13.778,9727
1998-05-18,13.778,13.778,13.778,13.778,4351
1998-05-19,13.144,13.144,13.144,13.144,15126
1998-05-20,13.053,13.053,13.053,13.053,5952
1998-05-21,13.597,13.597,13.597,13.597,7280
1998-05-22,13.597,13.597,13.597,13.597,2435
1998-05-25,12.237,12.237,12.237,12.237,4126
1998-05-26,12.328,12.328,12.328,12.328,18400
1998-05-27,11.965,11.965,11.965,11.965,2241
1998-05-28,11.694,11.694,11.694,11.694,5396
1998-05-29,11.603,11.603,11.603,11.603,7460
1998-06-01,10.968,10.968,10.968,10.968,5690
1998-06-02,10.515,10.515,10.515,10.515,5133
1998-06-03,10.515,10.515,10.515,10.515,10602
1998-06-04,10.515,10.515,10.515,10.515,8191
1998-06-05,10.424,10.424,10.424,10.424,12084
1998-06-08,10.243,10.243,10.243,10.243,9585
1998-06-09,9.971,9.971,9.971,9.971,4394
1998-06-10,9.699,9.699,9.699,9.699,3249
1998-06-15,9.3367,9.3367,9.3367,9.3367,16499
1998-06-16,9.246,9.246,9.246,9.246,34545
1998-06-17,9.609,9.609,9.609,9.609,4675
1998-06-18,10.153,10.153,10.153,10.153,9200
1998-06-19,9.971,9.971,9.971,9.971,9046
1998-06-22,10.515,10.515,10.515,10.515,10228
1998-06-23,10.243,10.243,10.243,10.243,2332
1998-06-24,10.062,10.062,10.062,10.062,1875
1998-06-25,10.334,10.334,10.334,10.334,14901
1998-06-26,10.515,10.515,10.515,10.515,7226
1998-06-29,10.515,10.515,10.515,10.515,2687
1998-06-30,10.515,10.515,10.515,10.515,15411
1998-07-01,10.968,10.968,10.968,10.968,8329
1998-07-02,11.24,11.24,11.24,11.24,4722
1998-07-03,10.878,10.878,10.878,10.878,13679
1998-07-06,10.968,10.968,10.968,10.968,14620
1998-07-07,10.878,10.878,10.878,10.878,1986
1998-07-08,10.424,10.424,10.424,10.424,8241
1998-07-09,9.971,9.971,9.971,9.971,3018
1998-07-10,9.79,9.79,9.79,9.79,3306
1998-07-13,9.881,9.881,9.881,9.881,2129
1998-07-14,9.971,9.971,9.971,9.971,5789
1998-07-15,9.518,9.518,9.518,9.518,2714
1998-07-16,9.609,9.609,9.609,9.609,4789
1998-07-17,9.971,9.971,9.971,9.971,2493
1998-07-20,10.243,10.243,10.243,10.243,4580
1998-07-21,9.971,9.971,9.971,9.971,4316
