Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-09-30,31.527,31.733,29.654,31.178,50049
2004-10-01,31.178,31.733,31.178,31.391,16412
2004-10-04,31.733,32.153,31.733,31.874,10836
2004-10-05,31.874,31.938,31.874,31.874,11251
2004-10-06,31.598,31.806,31.527,31.806,1327
2004-10-07,31.527,31.733,31.527,31.733,2295
2004-10-08,31.178,31.598,31.178,31.598,759
2004-10-11,31.178,31.178,30.137,31.041,2274
2004-10-12,30.351,30.487,29.797,29.797,701
2004-10-13,30.073,30.073,29.931,29.931,1085
2004-10-14,30.004,30.004,30.004,30.004,722
2004-10-15,29.448,30.073,29.448,30.073,27
2004-10-18,29.797,29.868,29.099,29.868,847
2004-10-20,28.756,29.099,28.756,29.099,1569
2004-10-21,29.099,30.004,29.099,30.004,903
2004-10-22,28.684,28.684,28.613,28.613,1105
2004-10-25,29.654,29.654,28.407,28.407,3219
2004-10-26,28.407,30.835,28.059,30.835,906
2004-10-27,30.764,30.764,28.828,30.556,15367
2004-10-28,30.351,30.351,30.351,30.351,1
2004-10-29,30.487,30.487,30.416,30.416,10
2004-11-02,30.628,30.628,29.448,30.487,1060
2004-11-03,30.487,30.487,29.311,30.487,1590
2004-11-04,30.351,30.416,29.519,29.519,2065
2004-11-05,29.519,29.868,29.519,29.589,280
2004-11-08,29.17,30.279,29.099,30.279,937
2004-11-10,30.209,30.209,29.241,30.137,1745
2004-11-12,29.448,30.279,29.376,30.279,1154
2004-11-15,29.797,30.279,29.519,30.279,952
2004-11-16,29.725,29.725,29.519,29.725,1056
2004-11-17,29.797,29.868,29.797,29.868,1083
2004-11-18,29.725,29.797,29.725,29.797,1151
2004-11-19,29.797,29.797,29.448,29.448,2157
2004-11-22,30.137,30.137,29.931,29.931,147
2004-11-23,28.059,29.099,28.059,29.034,4255
2004-11-24,28.199,29.099,28.059,29.099,3202
2004-11-25,29.099,29.099,29.099,29.099,10
2004-11-26,28.059,28.893,28.059,28.893,3483
2004-11-29,29.034,29.241,28.199,29.241,3210
2004-12-01,29.099,29.099,28.756,29.099,6091
2004-12-02,29.099,29.241,29.099,29.241,3067
