Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-09-23,1.55,1.71,1,1,115258
2011-09-26,1.17,1.44,1.05,1.44,98480
2011-09-27,1.6,1.79,1.5,1.69,60931
2011-09-28,1.78,1.78,1.3,1.39,9230
2011-09-29,1.15,1.44,1.02,1.15,14621
2011-09-30,1.25,1.25,1.01,1.24,10765
2011-10-03,1.24,1.24,1,1.2,2697
2011-10-04,1.16,1.16,1,1.13,130
2011-10-05,1.12,1.17,0.97,1.14,4025
2011-10-06,1.05,1.15,1.05,1.15,205
2011-10-07,1.12,1.15,1.12,1.15,3561
2011-10-10,1.13,1.13,0.92,1.1,654
2011-10-11,1.15,1.15,1.15,1.15,15
2011-10-12,1.14,1.14,1.14,1.14,5
2011-10-13,1.13,1.13,1.13,1.13,5
2011-10-14,0.91,1.13,0.91,1.13,1200
2011-10-17,1.13,1.13,0.96,1.13,325
2011-10-18,1.13,1.13,1.11,1.11,70
2011-10-19,1.12,1.12,0.95,1.09,6097
2011-10-20,0.95,1.06,0.95,1.01,3206
2011-10-21,0.88,1.01,0.81,1.01,10268
2011-10-24,1.01,1.16,1.01,1.16,2133
2011-10-25,1.18,1.18,1.17,1.17,150
2011-10-26,1.17,1.17,1,1.17,542
2011-10-27,1.16,1.17,1.16,1.17,4457
2011-10-28,1.24,1.38,1.03,1.2,3640
2011-10-31,1.26,1.26,1.26,1.26,3
2011-11-02,1.14,1.19,1.02,1.19,2000
2011-11-03,1.25,1.26,1.14,1.26,1262
2011-11-04,1.26,1.3,1.26,1.3,6005
2011-11-07,1.3,1.44,1.19,1.44,4144
2011-11-08,1.45,1.45,1.16,1.37,449
2011-11-09,1.42,1.45,1.1,1.45,5115
2011-11-10,1.44,1.63,1.36,1.52,17141
2011-11-14,1.52,1.53,1.44,1.53,5032
2011-11-15,1.59,1.59,1.51,1.58,3800
2011-11-16,1.55,1.59,1.55,1.59,55
2011-11-17,1.58,1.58,1.36,1.48,9483
2011-11-18,1.36,1.49,1.36,1.45,2156
2011-11-21,1.49,1.49,1.49,1.49,100
2011-11-22,1.36,1.43,1.36,1.43,493
2011-11-23,1.4,1.4,1.21,1.4,8811
2011-11-24,1.4,1.4,1.13,1.35,15
2011-11-25,1.39,1.62,1.39,1.6,10715
2011-11-28,1.62,1.62,1.45,1.62,1553
2011-11-29,1.5,1.64,1.5,1.64,3450
2011-12-01,1.56,1.8,1.51,1.78,12195
2011-12-02,1.74,1.74,1.74,1.74,5
2011-12-05,1.5,1.74,1.5,1.74,2033
2011-12-06,1.73,1.73,1.73,1.73,5
2011-12-07,1.4,1.55,1.4,1.55,1902
2011-12-08,1.59,1.59,1.59,1.59,1
2011-12-09,1.56,1.56,1.28,1.41,2006
2011-12-12,1.44,1.44,1.44,1.44,2
2011-12-13,1.45,1.45,1.45,1.45,1
2011-12-14,1.45,1.45,1.45,1.45,10
2011-12-15,1.45,1.45,1.45,1.45,5
2011-12-16,1.44,1.44,1.44,1.44,10
2011-12-19,1.45,1.45,1.45,1.45,5
2011-12-20,1.45,1.45,1.45,1.45,10
2011-12-21,1.36,1.36,1.36,1.36,10
2011-12-23,1.42,1.42,1.42,1.42,1
2011-12-27,1.06,1.22,1.06,1.22,1901
2012-01-02,1.2,1.35,1.1,1.25,4831
2012-01-03,1.25,1.25,1.2,1.2,445
2012-01-04,1.24,1.24,1.18,1.19,251
2012-01-05,1.15,1.23,1.15,1.23,101
2012-01-09,1.17,1.2,1.17,1.2,253
2012-01-10,1.15,1.35,1.15,1.35,1124
2012-01-11,1.35,1.45,1.25,1.35,4250
2012-01-12,1.45,1.48,1.42,1.42,62
2012-01-13,1.44,1.45,1.4,1.45,252
2012-01-16,1.48,1.48,1.4,1.4,175
2012-01-17,1.45,1.47,1.45,1.47,90
2012-01-18,1.48,1.48,1.48,1.48,45
2012-01-19,1.48,1.48,1.48,1.48,10
2012-01-20,1.48,1.48,1.48,1.48,20
2012-01-23,1.46,1.46,1.4,1.46,140
2012-01-24,1.46,1.46,1.35,1.44,40
2012-01-25,1.46,1.46,1.35,1.44,30
2012-01-26,1.35,1.44,1.3,1.44,92
2012-01-27,1.46,1.46,1.46,1.46,30
2012-01-30,1.42,1.42,1.3,1.42,80
2012-01-31,1.44,1.44,1.44,1.44,20
2012-02-01,1.42,1.42,1.42,1.42,41
2012-02-02,1.47,1.47,1.43,1.43,44
2012-02-03,1.46,1.47,1.46,1.47,1040
2012-02-06,1.5,1.5,1.3,1.35,2316
2012-02-07,1.35,1.35,1.35,1.35,31
2012-02-08,1.27,1.33,1.25,1.33,2001
2012-02-09,1.33,1.33,1.33,1.33,50
2012-02-10,1.33,1.33,1.33,1.33,50
2012-02-13,1.23,1.23,1.23,1.23,1470
2012-02-14,1.22,1.22,1.22,1.22,15
2012-02-15,1.22,1.46,1.21,1.4,1471
2012-02-16,1.4,1.4,1.4,1.4,10
2012-02-17,1.4,1.4,1.4,1.4,10
2012-02-20,1.4,1.4,1.4,1.4,20
2012-02-21,1.4,1.4,1.37,1.37,30
2012-02-22,1.35,1.35,1.35,1.35,30
2012-02-23,1.35,1.35,1.35,1.35,50
2012-02-24,1.35,1.4,1.35,1.35,2151
2012-02-27,1.25,1.37,1.25,1.37,400
2012-02-28,1.39,1.39,1.39,1.39,133
2012-02-29,1.37,1.37,1.37,1.37,75
2012-03-02,1.39,1.39,1.37,1.37,200
2012-03-05,1.38,1.38,1.38,1.38,20
2012-03-06,1.35,1.36,1.26,1.36,2001
2012-03-08,1.32,1.32,1.31,1.31,51
2012-03-09,1.31,1.4,1.31,1.4,2549
2012-03-12,1.4,1.4,1.4,1.4,75
2012-03-13,1.4,1.4,1.39,1.4,35397
2012-03-14,1.4,1.63,1.4,1.63,19528
2012-03-15,1.63,1.73,1.59,1.7,5106
2012-03-16,1.69,1.75,1.67,1.74,8258
2012-03-19,1.75,1.8,1.61,1.8,4366
2012-03-20,1.79,1.85,1.79,1.84,5242
2012-03-21,1.84,1.84,1.75,1.84,3115
2012-03-22,1.84,1.84,1.84,1.84,55
2012-03-23,1.74,1.84,1.74,1.84,1005
2012-03-26,1.84,1.84,1.84,1.84,2920
2012-03-27,1.84,1.84,1.75,1.82,2910
2012-03-28,1.73,1.79,1.73,1.79,2100
2012-03-29,1.78,1.78,1.78,1.78,20
2012-03-30,1.78,1.78,1.78,1.78,20
2012-04-02,1.8,1.8,1.78,1.78,70
2012-04-03,1.78,1.78,1.78,1.78,3020
2012-04-04,1.78,1.78,1.69,1.78,1620
2012-04-05,1.78,1.85,1.61,1.85,14197
2012-04-10,1.9,1.99,1.9,1.99,200
2012-04-11,1.99,1.99,1.99,1.99,20
2012-04-12,1.9,1.9,1.9,1.9,150
2012-04-13,1.9,1.9,1.9,1.9,53
2012-04-16,1.89,1.91,1.89,1.91,2100
2012-04-17,1.9,2,1.9,2,2807
2012-04-18,1.99,1.99,1.99,1.99,20
2012-04-19,1.99,1.99,1.99,1.99,50
2012-04-20,1.99,1.99,1.99,1.99,60
2012-04-23,1.99,1.99,1.88,1.99,3220
2012-04-24,1.99,2.15,1.95,2.15,9170
2012-04-25,2.2,2.2,2.2,2.2,40
2012-04-26,2.2,2.3,2.1,2.15,2605
2012-04-27,2.14,2.14,2.14,2.14,50
2012-04-30,2.15,2.55,2.15,2.55,4999
2012-05-02,2.2,2.56,2.2,2.56,918
2012-05-04,2.56,2.56,2.56,2.56,50
2012-05-08,2.57,2.57,2.56,2.56,60
2012-05-09,2.56,2.56,2.56,2.56,20
2012-05-10,2.5,2.5,2.4,2.4,1226
2012-05-11,2.4,2.4,2.2,2.2,2224
2012-05-15,2.2,2.25,2.2,2.25,80
2012-05-16,2.22,2.22,2,2.15,790
2012-05-17,2.15,2.15,2.15,2.15,10
2012-05-18,2.15,2.15,2.15,2.15,20
2012-05-28,2.15,2.15,2.15,2.15,10
2012-05-29,2.15,2.15,2.15,2.15,20
2012-05-30,2.15,2.15,2.15,2.15,10
2012-05-31,2.15,2.15,2.15,2.15,10
