Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-06-18,0.45985,0.45985,0.30031,0.30969,822977
2010-06-21,0.25338,0.30969,0.25338,0.30969,100638
2010-06-22,0.30031,0.30969,0.27215,0.30031,24167
2010-06-23,0.28154,0.29092,0.244,0.25338,217613
2010-06-24,0.25338,0.25338,0.21585,0.21585,81749
2010-06-25,0.21585,0.21585,0.18769,0.21585,121988
2010-06-28,0.21585,0.21585,0.18769,0.21585,9798
2010-06-29,0.21585,0.21585,0.18769,0.20646,39216
2010-06-30,0.19708,0.20646,0.19708,0.20646,14548
2010-07-01,0.20646,0.20646,0.20646,0.20646,11
2010-07-02,0.20646,0.20646,0.17831,0.20646,16410
2010-07-05,0.18769,0.20646,0.16892,0.20646,13062
2010-07-06,0.19708,0.19708,0.19708,0.19708,107
2010-07-07,0.19708,0.19708,0.19708,0.19708,1066
2010-07-08,0.17831,0.19708,0.16892,0.19708,24315
2010-07-09,0.19708,0.20646,0.19708,0.20646,14950
2010-07-12,0.19708,0.19708,0.19708,0.19708,54
2010-07-14,0.20646,0.21585,0.18769,0.18769,14385
2010-07-15,0.17831,0.22523,0.17831,0.21585,79090
2010-07-16,0.22523,0.22523,0.21585,0.22523,4795
2010-07-20,0.20646,0.22523,0.20646,0.22523,3730
2010-07-21,0.20646,0.21585,0.19708,0.21585,3959
2010-07-23,0.22523,0.26277,0.22523,0.26277,82582
2010-07-26,0.28154,0.30969,0.244,0.27215,294818
2010-07-27,0.25338,0.26277,0.244,0.26277,29807
2010-07-28,0.26277,0.27215,0.23462,0.25338,43251
2010-07-29,0.23462,0.27215,0.22523,0.27215,172219
2010-07-30,0.26277,0.27215,0.25338,0.27215,18392
2010-08-02,0.27215,0.27215,0.22523,0.22523,244748
2010-08-03,0.22523,0.22523,0.20646,0.21585,109713
2010-08-04,0.21585,0.22523,0.21585,0.22523,1067
2010-08-05,0.21585,0.21585,0.21585,0.21585,3730
2010-08-06,0.21585,0.21585,0.20646,0.21585,5861
2010-08-09,0.21585,0.21585,0.21585,0.21585,10606
2010-08-10,0.20646,0.21585,0.20646,0.21585,7992
2010-08-11,0.21585,0.23462,0.21585,0.23462,16734
2010-08-12,0.23462,0.23462,0.21585,0.22523,12587
2010-08-13,0.22523,0.22523,0.19708,0.20646,81944
2010-08-16,0.19708,0.20646,0.19708,0.20646,41510
2010-08-17,0.21585,0.22523,0.21585,0.21585,53232
2010-08-18,0.21585,0.21585,0.21585,0.21585,10656
2010-08-19,0.21585,0.25338,0.21585,0.244,130142
2010-08-20,0.244,0.244,0.19708,0.23462,114016
2010-08-23,0.23462,0.23462,0.21585,0.21585,44967
2010-08-24,0.21585,0.21585,0.21585,0.21585,40865
2010-08-25,0.21585,0.25338,0.21585,0.244,201457
2010-08-26,0.244,0.244,0.21585,0.21585,187332
2010-08-27,0.21585,0.21585,0.20646,0.21585,48354
2010-08-30,0.21585,0.22523,0.20646,0.21585,122685
2010-08-31,0.21585,0.21585,0.20646,0.21585,40664
2010-09-01,0.21585,0.22523,0.20646,0.22523,52464
2010-09-02,0.22523,0.23462,0.22523,0.22523,66875
2010-09-03,0.22523,0.22523,0.18769,0.21585,503355
2010-09-06,0.21585,0.21585,0.19708,0.21585,58291
2010-09-07,0.21585,0.21585,0.19708,0.21585,19660
2010-09-08,0.21585,0.21585,0.21585,0.21585,639
2010-09-09,0.21585,0.21585,0.20646,0.20646,12361
2010-09-10,0.20646,0.21585,0.19708,0.20646,29341
2010-09-13,0.20646,0.20646,0.18769,0.20646,268492
2010-09-14,0.20646,0.21585,0.19708,0.21585,99115
2010-09-15,0.21585,0.21585,0.20646,0.20646,13077
2010-09-16,0.20646,0.23462,0.20646,0.22523,668786
2010-09-17,0.22523,0.23462,0.22523,0.22523,94425
2010-09-20,0.22523,0.26277,0.22523,0.26277,757055
2010-09-21,0.25338,0.28154,0.25338,0.28154,87692
2010-09-22,0.27215,0.27215,0.244,0.26277,96052
2010-09-23,0.27215,0.28154,0.23462,0.25338,323775
