Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-12-21,7.97,7.97,5.4,6.11,100672
2017-12-22,6.4,6.7,5.6,5.74,62038
2017-12-27,5.51,5.6,5.03,5.11,13189
2017-12-28,5.01,5.25,4.42,4.72,14224
2017-12-29,4.5,4.74,3.92,4.19,3749
2018-01-03,4.61,5.53,4.3,5.45,9259
2018-01-04,5.55,6.11,4.8,5,31673
2018-01-05,5.38,5.38,4.8,5.17,2576
2018-01-08,5.17,5.38,4.4,4.9,7746
2018-01-09,4.52,4.82,4.4,4.45,11265
2018-01-10,4.45,5,4.37,4.68,18498
2018-01-11,4.5,4.67,4.5,4.67,1271
2018-01-12,4.67,4.76,4.45,4.76,2797
2018-01-15,4.55,4.79,4.52,4.52,1243
2018-01-16,4.45,4.7,4.45,4.69,367
2018-01-17,4.7,4.7,4.4,4.58,8513
2018-01-18,4.4,4.58,4.22,4.3,1983
2018-01-19,4.27,4.45,4.05,4.36,3131
2018-01-22,4.11,4.41,3.91,3.96,7101
2018-01-23,4.18,4.34,3.76,3.8,7243
2018-01-24,3.72,3.83,3.4,3.54,2451
2018-01-25,3.48,3.54,3.04,3.54,4233
2018-01-26,3.19,3.69,3.19,3.69,1202
2018-01-29,3.7,4,3.7,3.99,4185
2018-01-30,3.99,3.99,3.36,3.36,7654
2018-01-31,3.36,3.36,2.88,3.07,5441
2018-02-01,3.49,3.49,2.94,2.99,1502
2018-02-02,2.99,3.43,2.99,3.34,3955
2018-02-05,3.43,3.52,3.17,3.52,498
2018-02-06,3.46,3.7,3.41,3.65,1676
2018-02-07,3.4,3.64,3.23,3.5,1627
2018-02-08,3.35,3.37,3.2,3.21,1985
2018-02-09,3.21,3.46,3,3.46,1220
2018-02-12,3.15,3.27,3.01,3.01,591
2018-02-13,3.24,3.44,3.15,3.39,3458
2018-02-14,3.35,3.59,3.16,3.59,1139
2018-02-15,3.2,3.48,3.02,3.36,3887
2018-02-16,3.06,3.36,3.03,3.05,9711
2018-02-19,3.05,3.25,3,3.15,7891
2018-02-20,2.95,3.43,2.95,3.23,8724
2018-02-21,3.34,3.35,3.06,3.2,1267
2018-02-22,3.1,3.7,3.1,3.63,5953
2018-02-23,3.38,3.83,3.31,3.83,4100
2018-02-26,3.83,4.34,3.83,3.95,11482
2018-02-27,3.95,4.28,3.61,4,9214
2018-02-28,3.82,4.09,3.7,3.85,4230
2018-03-01,3.51,4.08,3.51,3.98,652
2018-03-02,3.51,3.9,3.51,3.9,846
2018-03-05,3.9,4.25,3.9,4.25,485
2018-03-06,4.2,4.2,4.2,4.2,17
