Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-05-14,10.066,12.079,8.0529,8.6656,15519
2012-05-15,9.3658,9.3658,6.0397,6.4773,2580
2012-05-16,5.2519,6.2147,4.2015,4.2015,19700
2012-05-17,4.2015,4.8142,3.3262,3.3262,29416
2012-05-18,3.5888,4.2015,2.8885,3.1511,7661
2012-05-21,3.1511,3.6763,2.7135,3.6763,4504
2012-05-22,3.6763,3.8514,2.4509,2.801,29219
2012-05-23,2.9761,3.9389,2.8885,3.9389,13010
2012-05-24,4.7267,5.602,4.7267,5.602,10691
2012-05-25,6.6524,7.9653,6.6524,7.9653,10058
2012-05-28,9.541,10.941,7.0025,8.7531,22116
2012-05-29,8.0529,9.628,7.4401,7.4401,11196
2012-05-30,7.4401,7.9653,7.0025,7.3526,3059
2012-05-31,7.4401,10.066,7.4401,8.0529,8333
2012-06-01,8.0529,9.0157,8.0529,8.7531,1942
2012-06-04,9.2783,9.2783,7.8778,8.403,1816
2012-06-05,8.5781,9.541,7.8778,8.8406,24097
2012-06-06,8.6656,8.8406,8.4905,8.5781,1236
2012-06-08,8.8406,8.8406,7.4401,8.2279,2317
2012-06-11,8.2279,11.729,7.8778,9.3658,11299
2012-06-12,9.3658,10.066,8.403,9.541,907
2012-06-13,9.541,11.204,8.8406,9.1908,5212
2012-06-14,9.4534,9.891,9.2783,9.803,603
2012-06-15,9.803,9.803,8.3155,8.403,2934
2012-06-18,8.3155,8.403,7.8778,8.2279,889
2012-06-19,8.7531,8.7531,7.8778,8.5781,238
2012-06-20,7.8778,8.5781,7.8778,8.403,238
2012-06-21,8.403,8.5781,7.9653,7.9653,183
2012-06-22,7.9653,8.5781,7.9653,8.5781,539
2012-06-25,8.5781,8.5781,8.5781,8.5781,11
2012-06-26,8.403,8.403,7.6152,8.1404,356
2012-06-27,8.2279,8.3155,7.09,8.3155,464
2012-06-28,8.3155,8.3155,7.8778,7.8778,57
2012-06-29,8.0529,8.0529,8.0529,8.0529,11
2012-07-02,7.7027,8.0529,6.8274,8.0529,839
2012-07-03,8.0529,8.7531,7.9653,8.0529,1218
2012-07-04,8.3155,9.628,8.3155,9.628,2445
2012-07-05,9.628,11.554,8.8406,11.554,4462
2012-07-06,11.554,16.456,11.554,16.456,9110
2012-07-09,16.018,19.169,13.305,17.419,2232
2012-07-10,17.419,18.119,15.931,16.631,770
2012-07-11,16.631,16.631,14.968,15.23,2303
2012-07-12,17.944,17.944,14.88,15.931,352
2012-07-13,16.106,16.281,14.443,14.88,231
2012-07-16,14.443,14.793,13.305,14.705,1481
2012-07-17,13.567,14.093,12.254,12.254,747
2012-07-18,13.217,13.217,11.642,11.642,144
2012-07-19,9.628,11.554,9.628,11.554,258
2012-07-20,10.679,13.305,10.679,13.305,916
2012-07-23,14.005,18.819,13.83,18.819,1515
2012-07-24,20.57,23.633,16.631,17.506,3137
2012-07-25,17.506,17.506,14.005,15.23,468
2012-07-26,12.867,13.13,8.0529,8.1404,5287
2012-07-27,8.3155,8.5781,6.7399,8.3155,1209
2012-07-30,8.5781,8.5781,5.1643,5.1643,2082
2012-07-31,5.9521,5.9521,3.5888,4.2015,18631
2012-08-01,4.114,4.114,3.4137,3.9389,2783
2012-08-02,3.9389,3.9389,3.3262,3.9389,599
2012-08-03,4.2015,4.2015,4.114,4.114,137
2012-08-06,3.8514,3.8514,3.3262,3.3262,505
2012-08-07,3.5012,4.7267,3.5012,4.7267,4842
2012-08-08,5.0768,6.0397,5.0768,6.0397,4821
2012-08-09,6.1272,6.1272,4.8142,4.8142,3297
2012-08-10,5.3394,5.4269,4.9017,5.2519,2308
2012-08-13,5.2519,6.0397,5.2519,5.5145,1593
2012-08-14,6.0397,6.0397,5.1643,5.1643,1156
2012-08-16,5.1643,5.3394,4.2015,4.6392,4065
2012-08-17,4.7267,4.7267,3.9389,3.9389,985
2012-08-20,4.289,4.289,3.7638,3.7638,580
2012-08-21,4.114,4.2015,4.0264,4.0264,192
2012-08-22,4.114,4.6392,3.8514,3.9389,6676
2012-08-23,3.9389,3.9389,3.2387,3.8514,1675
2012-08-24,3.1511,3.7638,2.9761,3.7638,1958
2012-08-27,3.8514,3.9389,3.5012,3.5012,126
2012-08-28,3.5012,3.5012,3.3262,3.4137,1682
2012-08-29,3.4137,3.4137,3.3262,3.4137,667
2012-08-30,3.4137,3.4137,3.4137,3.4137,11
2012-08-31,3.4137,4.8142,3.3262,4.8142,2557
2012-09-03,5.0768,5.8646,4.7267,5.2519,2507
2012-09-04,5.1643,5.1643,3.4137,3.9389,5351
2012-09-05,3.9389,3.9389,3.4137,3.9389,1206
2012-09-06,3.9389,3.9389,3.4137,3.9389,2123
2012-09-07,3.9389,4.7267,3.9389,4.3766,2927
2012-09-10,4.3766,4.3766,3.9389,3.9389,763
2012-09-11,4.2015,5.0768,3.8514,3.8514,6727
2012-09-12,3.8514,4.3766,3.7638,4.3766,1837
2012-09-13,4.8142,5.4269,4.3766,4.8142,6839
2012-09-14,4.9017,4.9893,4.5516,4.7267,953
2012-09-17,4.7267,6.6524,4.7267,6.0397,6926
2012-09-18,6.2147,7.0025,5.602,6.5648,5815
2012-09-19,6.3898,6.3898,5.602,5.8646,1577
2012-09-20,5.6895,5.6895,5.2519,5.2519,4641
2012-09-21,5.602,5.602,4.9017,5.4269,2714
2012-09-24,5.4269,5.7771,5.4269,5.4269,1622
2012-09-25,5.4269,5.602,4.9017,5.2519,119
