Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-08-23,133,133.9,122,127.9,3389
2017-08-24,127.9,130.4,125,129,419
2017-08-25,127.9,128.9,123.1,128.9,665
2017-08-28,128.9,129,125,128.75,1437
2017-08-29,129.8,129.8,127.8,127.8,81
2017-08-30,127.9,127.9,125.5,127.75,94
2017-08-31,127.5,144.85,125,138.9,6514
2017-09-01,138.8,138.8,132.7,137,177
2017-09-04,137.4,137.4,136,136,21
2017-09-05,136,136,130.6,130.6,13
2017-09-06,132,136,132,135,289
2017-09-07,134,136,133.6,135,54
2017-09-08,135.9,135.9,135.5,135.5,30
2017-09-11,135.9,136,133,136,414
2017-09-12,136,136,132,134.9,105
2017-09-13,132,132.9,127,132.9,260
2017-09-14,133.85,133.85,111,127.7,433
2017-09-15,127.7,127.7,125,127.7,121
2017-09-18,127.65,128.5,105,128.5,370
2017-09-19,128.5,128.5,128.5,128.5,56
2017-09-20,128.5,128.5,123.15,125,111
2017-09-21,125,128.5,124,128.5,406
2017-09-22,128.5,128.5,128.5,128.5,1
2017-09-25,128.5,128.5,123.55,128.5,45
2017-09-26,128.5,128.5,128.5,128.5,1
2017-09-27,128.5,128.5,128.5,128.5,1
2017-09-28,128.5,139,128.5,139,511
2017-09-29,141.5,144,135.1,139.1,4748
2017-10-02,139.8,139.8,133.95,139.7,562
2017-10-03,139.7,139.7,139.7,139.7,1
2017-10-04,139.7,139.7,139.65,139.65,90
2017-10-05,139.7,139.7,139.5,139.5,18
2017-10-06,139,141,133.55,141,319
2017-10-09,140.95,140.95,140.95,140.95,1
2017-10-10,135.5,140,135.5,140,102
2017-10-11,140,140,140,140,22
2017-10-12,138,138,138,138,1
2017-10-13,138,138,126.15,137.5,394
2017-10-16,138,138,137.5,137.5,81
2017-10-17,138,138,138,138,1
2017-10-18,138,138,138,138,1
2017-10-19,138,138,132.1,137,371
2017-10-20,136.95,136.95,136.9,136.9,131
2017-10-23,136.9,136.9,129.55,134.9,1131
2017-10-24,130,134.5,129.35,129.35,553
2017-10-25,130,130,129.95,129.95,251
2017-10-26,130,130,130,130,1
2017-10-27,129,129,126.2,129,261
2017-10-30,129,132,129,131.9,165
2017-10-31,134.9,134.9,132,133,966
2017-11-02,127.2,130,127.2,130,21
2017-11-03,127.15,127.15,127.15,127.15,1
2017-11-06,130,130,130,130,1
2017-11-07,129.5,129.95,128,129.95,95
2017-11-08,129,129,126,128.5,188
2017-11-09,128.45,128.45,128.45,128.45,50
2017-11-10,124,126.95,124,126.95,29
2017-11-13,126,126,126,126,7
2017-11-14,125.95,125.95,120,124.95,299
2017-11-15,118,120,118,120,394
2017-11-16,123.8,123.8,123.7,123.7,21
2017-11-17,123.7,123.7,123.7,123.7,1
2017-11-20,123.7,123.7,123.7,123.7,1
2017-11-21,123.65,123.65,123.65,123.65,1
2017-11-22,123.6,123.6,123.6,123.6,2
2017-11-23,123.6,123.6,118.1,118.1,15
2017-11-24,122,122,122,122,1
2017-11-27,119.9,132.75,119.9,126.5,840
2017-11-28,124.25,128.9,124.25,128.9,2
2017-11-29,129.8,129.8,129.8,129.8,1
2017-11-30,129.8,129.8,129.5,129.7,1030
2017-12-01,129,129,129,129,5
2017-12-04,128.95,128.95,128.95,128.95,1
2017-12-05,129.9,129.9,129.9,129.9,1
2017-12-06,129.9,129.9,107,129.1,393
2017-12-07,129.8,129.8,129.8,129.8,1
2017-12-08,125,129.7,108.4,129.6,724
2017-12-11,129.5,129.5,125,125,11
2017-12-12,127.95,127.95,124,124,11
2017-12-13,127.95,128,127.5,128,749
2017-12-14,129,129,128.8,128.95,1025
2017-12-15,128.95,128.95,128.75,128.85,1000
2017-12-18,128.4,128.5,128.3,128.5,1061
2017-12-19,128.45,129.9,128.35,129.9,1000
2017-12-20,129.9,138.8,129.9,138,1413
2017-12-21,138.4,140,138.35,139.55,1081
2017-12-22,139.85,139.85,139,139.6,1000
2017-12-27,139.8,139.8,138.9,138.9,1001
2017-12-28,138.9,138.9,138.6,138.6,1001
2017-12-29,138.55,138.55,135.1,135.1,1047
2018-01-03,135,140.5,135,140.5,644
2018-01-04,143.5,143.5,138.5,142,9
2018-01-05,141,141,138,138,615
2018-01-08,139,139,137,138,1001
2018-01-09,138,138,138,138,163
2018-01-10,138.5,138.5,138.5,138.5,1
2018-01-11,138.5,141,138.5,141,401
2018-01-12,141.5,141.5,138,140.5,48
2018-01-15,140.5,140.5,140.5,140.5,2
2018-01-16,140,140,140,140,1
2018-01-17,140,140,138,139.5,42
2018-01-18,139.5,139.5,139.5,139.5,1
2018-01-19,125,136.5,125,136.5,50
2018-01-22,136.5,136.5,136.5,136.5,1
2018-01-23,135.5,135.5,135.5,135.5,1
2018-01-24,134.5,134.5,134.5,134.5,1
2018-01-25,138.5,138.5,138.5,138.5,1
2018-01-26,137,137,137,137,1
2018-01-29,138,138,138,138,1
2018-01-30,136,136,136,136,6
2018-01-31,137.5,137.5,137.5,137.5,1
2018-02-01,136,136,134,134,16
2018-02-02,132.5,132.5,128.5,128.5,21
2018-02-05,127,127,127,127,5
2018-02-06,126,136,117.5,136,171
2018-02-07,136,136,128,128,11
2018-02-08,128,128,128,128,1
2018-02-12,128.5,128.5,126.5,126.5,12
2018-02-13,131,131,131,131,1
2018-02-14,135.5,135.5,135.5,135.5,1
2018-02-15,135.5,135.5,135.5,135.5,1
2018-02-16,135.5,135.5,135.5,135.5,1
2018-02-19,136,136,136,136,1
2018-02-20,135.5,135.5,135.5,135.5,1
2018-02-21,133.5,133.5,129,132.5,256
2018-02-22,132,132,132,132,1
2018-02-23,132,132,132,132,1
2018-02-26,134.5,134.5,134.5,134.5,1
2018-02-27,134.5,134.5,134.5,134.5,1
2018-02-28,133.5,133.5,125,131,1104
2018-03-01,134.5,134.5,124,129,27
2018-03-02,124,129,124,129,25
2018-03-05,132,132,132,132,1
2018-03-06,132,132,132,132,1
2018-03-07,132,134,132,134,35
2018-03-08,134,134,134,134,1
2018-03-09,134,134,134,134,1
2018-03-12,134.5,134.5,134.5,134.5,1
2018-03-13,134,134,134,134,1
2018-03-14,134,134,134,134,1
2018-03-15,134,134,134,134,1
2018-03-21,134,134,134,134,1
2018-03-22,134,134,134,134,1
2018-03-23,134,134,133,133,11
2018-03-26,132.5,132.5,132.5,132.5,2
2018-03-27,132.5,132.5,132.5,132.5,1
2018-03-28,130,130,111,130,210
2018-03-29,132.5,132.5,113.5,124.5,602
2018-04-03,124.5,124.5,124.5,124.5,30
2018-04-04,124.5,124.5,124.5,124.5,1
2018-04-05,124.5,124.5,124.5,124.5,1
2018-04-06,124.5,124.5,124,124,13
2018-04-10,132.5,132.5,132.5,132.5,1
2018-04-11,132.5,132.5,124,124,17346
2018-04-12,127,127,124,124,38
2018-04-13,130,130,130,130,1
2018-04-16,123.5,128.5,123.5,128.5,9
2018-04-17,129.5,129.5,122.5,125,2509
2018-04-18,129.5,129.5,129.5,129.5,1
2018-04-19,129.5,129.5,129.5,129.5,1
2018-04-20,130,130,130,130,1
