Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-02-24,1.68425,1.68425,1.40334,1.45569,151497.98995019
2011-02-25,1.44913,1.67759,1.40334,1.67759,66482.100502706
2011-02-28,1.67759,1.67759,1.46874,1.56012,24515.035175951
2011-03-01,1.56012,1.61229,1.46874,1.53414,25304.874371933
2011-03-02,1.53414,1.53414,1.42971,1.4753,11131.246231188
2011-03-03,1.4753,1.4753,1.42304,1.42304,2738.040201013
2011-03-04,1.46236,1.49492,1.37078,1.49492,8131.306532687
2011-03-07,1.48835,1.50139,1.35127,1.40334,15784.361809091
2011-03-08,1.40334,1.41,1.37078,1.41,3867.4170854384
2011-03-09,1.40334,1.41,1.39049,1.39049,4165.5477387056
2011-03-10,1.40334,1.43608,1.30567,1.36431,17845.396984977
2011-03-11,1.31224,1.33832,1.27292,1.33832,3440.9246231256
2011-03-14,1.27292,1.29901,1.24027,1.29901,2720.4422110632
2011-03-15,1.25979,1.25979,1.06397,1.20772,7770.0301507764
2011-03-16,1.17497,1.24684,1.17497,1.24684,2054.824120609
2011-03-17,1.24684,1.26626,1.24684,1.26626,189.4371859302
2011-03-18,1.20772,1.20772,1.20772,1.20772,948.2211055304
2011-03-22,1.18144,1.20772,1.14898,1.20772,1635.577889452
2011-03-23,1.20772,1.29244,1.20772,1.22723,1823.9798995028
2011-03-24,1.27949,1.27949,1.19458,1.25341,497.9195979914
2011-03-25,1.20115,1.20115,1.10957,1.20115,8732.7437186184
2011-03-30,1.20115,1.22076,1.17497,1.22076,322.9748743728
2011-03-31,1.24027,1.24027,1.24027,1.24027,153.2060301512
2011-04-01,1.24027,1.24027,1.18811,1.18811,2625.2060301584
2011-04-04,1.19458,1.19458,1.18811,1.19458,688.391959801
2011-04-05,1.19458,1.19458,1.19458,1.19458,108.693467337
2011-04-06,1.19458,1.22723,1.19458,1.22723,982.3819095506
2011-04-07,1.22723,1.26626,1.22723,1.24027,1277.4070351796
