Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-03-23,5.23353,7.32704,5.23353,6.28024,33812.378050292
2009-03-24,5.83744,6.28024,5.29788,6.28024,2358.2317074225
2009-03-25,5.79721,6.84382,5.79721,5.97423,3978.4146343242
2009-03-26,5.95812,6.44124,5.47509,6.44124,1940.4878049648
2009-03-27,6.03867,6.03867,6.03867,6.03867,620.9146341741
2009-03-30,5.79721,6.44124,5.79721,6.03867,1726.9512195894
2009-03-31,6.42513,6.82771,6.42513,6.56193,4094.512195305
2009-04-01,6.28024,6.56193,6.28024,6.5218,709.0243902756
2009-04-02,6.5218,6.60235,6.5218,6.60235,3153.2926830678
2009-04-03,6.8196,6.8196,6.32046,6.32046,4554.7560977646
2009-04-06,6.75526,6.76336,6.33648,6.33648,1750.7926830051
2009-04-07,6.33648,6.84382,6.33648,6.83571,3676.7682928473
2009-04-08,6.84382,7.24629,6.36079,6.44124,4880.2439026572
2009-04-09,6.44124,6.80359,6.03867,6.0789,3200.9756098992
2009-04-14,6.11913,6.28024,6.03867,6.03867,11687.500000522
2009-04-15,6.83571,6.83571,6.06279,6.27204,9566.6463418911
2009-04-16,6.12723,6.12723,5.41075,5.61989,12525.06097617
2009-04-17,5.79721,5.85364,5.59587,5.59587,4486.3414636152
2009-04-20,5.6361,5.6361,5.1932,5.1932,2941.8292684242
2009-04-21,5.15298,5.15298,4.95174,4.95174,1243.90243908
2009-04-22,5.03229,5.15298,5.03229,5.11275,2345.7926830317
2009-04-23,5.38644,5.38644,5.28977,5.28977,3067.2560976981
2009-04-24,5.51513,5.51513,5.29788,5.29788,181.4024390325
2009-04-27,5.47509,5.79721,5.47509,5.79721,337.9268292834
2009-04-28,5.73286,5.73286,5.55555,5.55555,266.4024390363
2009-04-29,5.55555,5.79721,5.54754,5.54754,3046.5243903801
2009-04-30,5.95812,5.95812,4.95984,4.95984,5770.6707319653
2009-05-04,5.95011,5.95812,5.43486,5.43486,9742.8658540941
2009-05-05,5.94191,5.94191,5.51513,5.51513,935.0000000418
2009-05-06,5.44287,5.55555,5.23353,5.55555,3290.1219513666
2009-05-07,5.79721,5.79721,5.39444,5.39444,3961.8292684698
2009-05-08,5.73286,5.73286,5.25765,5.52352,2442.1951220604
2009-05-11,5.54754,5.54754,5.16108,5.23353,8601.5853662382
2009-05-12,5.22533,5.22533,5.05622,5.07252,6766.8292685952
2009-05-13,5.16108,5.16108,4.83096,4.83096,8547.6829272114
2009-05-14,5.07252,5.07252,4.87919,4.87919,2301.219512298
2009-05-15,4.91151,4.91151,4.87119,4.87119,553.5365853906
2009-05-18,5.15298,5.15298,4.87119,4.87119,2977.0731708648
2009-05-19,5.07252,5.07252,4.76661,4.76661,4845.0000002166
2009-05-20,4.99997,4.99997,4.76661,4.79073,118.1707317126
2009-05-21,4.79073,4.91151,4.79073,4.91151,2074.2073171659
2009-05-22,4.99997,4.99997,4.99997,4.99997,2.0731707318
2009-05-25,4.87119,4.87119,4.75031,4.75031,859.3292683311
2009-05-26,4.87119,4.87119,4.87119,4.87119,11.4024390249
2009-05-27,4.83096,4.83096,4.83096,4.83096,390.7926829443
2009-05-28,4.83096,4.83096,4.83096,4.83096,1055.2439024862
2009-05-29,4.83096,4.83096,4.79073,4.79073,526.5853658772
2009-06-01,4.83096,4.83096,4.82295,4.82295,523.4756097795
2009-06-02,4.82295,4.82295,4.75031,4.75031,93.292682931
2009-06-03,4.79883,4.83096,4.75851,4.75851,1301.9512195704
2009-06-04,4.86308,4.86308,4.75851,4.75851,723.5365853982
2009-06-05,4.83096,4.83096,4.5975,4.5975,591.8902439289
2009-06-08,4.71018,4.71018,4.34783,4.34783,4435.5487806861
2009-06-09,4.66184,4.66184,4.46861,4.46861,1684.4512195875
2009-06-10,4.66995,4.66995,4.66995,4.66995,60.1219512222
2009-06-12,4.83096,4.83096,4.71818,4.71818,578.4146341722
2009-06-15,4.79073,4.79073,4.57328,4.57328,517.2560975841
2009-06-16,4.67805,4.73439,4.67805,4.73439,330.6707317221
2009-06-17,4.66995,4.66995,4.52495,4.66995,382.5000000171
2009-06-18,4.66184,4.66184,4.20293,4.20293,22.8048780498
2009-06-19,4.53306,4.75031,4.53306,4.71018,974.390243946
2009-06-22,4.75851,4.75851,4.2994,4.38796,2298.1097562003
2009-06-23,4.2994,4.5893,4.18692,4.35584,1364.1463415244
2009-06-24,4.5893,4.5893,4.47672,4.47672,127.5000000057
2009-06-25,4.5893,4.5893,4.47672,4.47672,286.0975609884
2009-06-26,4.5893,4.5893,4.5893,4.5893,32.1341463429
2009-06-29,4.39616,4.50064,4.39616,4.50064,135.7926829329
2009-06-30,4.50064,4.50064,4.39616,4.39616,109.8780487854
2009-07-01,4.46861,4.46861,4.46861,4.46861,100.5487804923
2009-07-02,4.47672,4.47672,4.47672,4.47672,111.9512195172
2009-07-03,4.54926,4.54926,4.54926,4.54926,14.5121951226
2009-07-06,4.43649,4.54926,4.43649,4.54926,127.5000000057
2009-07-07,4.54926,4.54926,4.54926,4.54926,13.4756097567
2009-07-08,4.56518,4.56518,4.38015,4.38015,301.6463414769
