Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-07-10,16.6004,24.8236,16.6004,24.8236,18797.869565532
2014-07-11,29.7845,35.7414,26.5607,33.682,16148.086956792
2014-07-14,33.2008,33.2008,25.069,27.4268,12037.286956723
2014-07-15,27.5952,28.7259,22.0762,22.6151,13421.408695877
2014-07-16,21.6527,22.1339,18.8523,21.3544,16991.86086985
2014-07-17,21.1715,22.1339,19.2469,19.8724,7219.8782609904
2014-07-18,19.8724,19.9686,17.8033,19.4201,3273.26086962
2014-07-21,19.4105,20.113,17.8033,19.8291,5295.4086957408
2014-07-22,18.5251,19.7232,18.5251,19.4201,3171.4260870096
2014-07-23,19.4201,23.0385,19.4201,22.6632,3857.2521739776
2014-07-24,21.1764,22.8316,20.2092,22.3215,3557.9826087552
2014-07-25,22.4611,22.7305,22.1339,22.7305,511.2521739216
2014-07-28,22.8316,22.8316,19.959,21.0513,2986.4608696152
2014-07-29,19.9686,21.0513,19.4249,20.1611,2683.0347826536
2014-07-30,18.8475,20.2092,17.5628,18.5203,5442.9652174824
2014-07-31,18.4577,18.4577,15.1617,18.0439,1413.217391328
2014-08-01,16.3598,18.1161,15.8787,17.8033,1710.4086956808
2014-08-04,16.7351,17.7071,15.2772,17.3222,2385.8434783008
2014-08-05,15.8787,16.4609,14.4351,15.3975,3235.8521739672
2014-08-06,14.4351,14.4351,12.5345,14.4063,5717.2956522696
2014-08-07,13.3766,14.4063,13.3285,13.9395,1583.6347826352
2014-08-08,13.954,14.3341,13.4199,13.4199,1884.9826087272
2014-08-11,14.2331,14.2331,12.1496,12.2747,3206.7565217928
2014-08-12,13.4728,13.4728,12.4527,12.9387,1988.8956522072
2014-08-13,12.9435,12.9435,11.6925,12.2939,2217.5043478632
2014-08-14,12.2891,12.2891,12.0293,12.0293,611.0086956624
2014-08-18,12.0533,14.4063,12.0293,12.8473,6756.4260870696
2014-08-19,13.7808,13.7808,12.5249,13.136,1689.6260869848
2014-08-20,13.7134,13.7134,12.5634,13.5883,4015.2000000672
2014-08-21,12.6115,13.3766,12.5105,13.3429,1737.4260869856
2014-08-22,13.3669,13.3766,12.4383,13.0782,392.7913043544
2014-08-25,13.0782,13.0782,12.0293,12.0293,432.2782608768
2014-08-26,12.7029,12.7029,11.5481,12.0293,802.2086956656
2014-08-27,12.2699,12.9628,11.3316,12.6837,320.0521739184
2014-08-28,12.0293,12.7077,11.0669,12.65,1822.6347826392
2014-08-29,12.6067,12.6067,10.5858,10.6339,3566.2956522336
2014-09-01,10.6339,11.2594,9.62824,10.1094,2159.3130435144
2014-09-02,9.76778,11.1151,9.76778,11.1006,2772.4000000464
2014-09-03,11.0958,11.4182,10.4655,11.2787,2730.8347826544
