Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-07-29,2.5973,3.2364,2.5973,2.9215,303795
2011-08-01,2.9671,3.2182,2.9671,3.0539,76541
2011-08-02,2.99,2.9945,2.9716,2.99,8547
2011-08-03,2.9716,3.0128,2.7845,2.9488,21256
2011-08-04,2.8393,2.8712,2.7389,2.7663,19926
2011-08-05,2.5152,2.7572,2.4193,2.5699,14046
2011-08-08,2.4878,2.8302,2.4878,2.7389,23207
2011-08-09,2.6933,2.7389,2.5791,2.6476,12217
2011-08-10,2.6841,2.7434,2.5106,2.643,46137
2011-08-11,2.5152,2.7115,2.5152,2.7115,4070
2011-08-12,2.602,2.7389,2.602,2.716,12582
2011-08-16,2.6476,2.7069,2.5197,2.7069,3551
2011-08-17,2.6703,2.7024,2.6476,2.7024,1146
2011-08-18,2.602,2.643,2.5197,2.643,4041
2011-08-19,2.5197,2.6385,2.5197,2.6385,2693
2011-08-22,2.643,2.6887,2.643,2.6887,986
2011-08-23,2.5197,2.6795,2.5197,2.6795,375
2011-08-25,2.5563,2.675,2.5563,2.675,1218
2011-08-26,2.5563,2.5609,2.5563,2.5609,669
2011-08-29,2.6703,2.6703,2.5563,2.602,1581
2011-08-30,2.5517,2.6658,2.5517,2.5563,2307
2011-08-31,2.643,2.6703,2.5973,2.6703,6024
2011-09-01,2.6703,2.6703,2.6703,2.6703,118
2011-09-02,2.643,2.643,2.6248,2.6248,775
2011-09-06,2.602,2.602,2.602,2.602,221
2011-09-07,2.602,2.6521,2.602,2.6521,2558
2011-09-08,2.5471,2.6476,2.5471,2.6476,467
2011-09-09,2.5563,2.6476,2.5563,2.6476,469
2011-09-12,2.5471,2.6385,2.5106,2.6385,3071
2011-09-13,2.5244,2.5973,2.5244,2.5244,976
2011-09-14,2.6248,2.6248,2.6248,2.6248,657
2011-09-16,2.5106,2.5563,2.465,2.506,12042
2011-09-19,2.4193,2.4422,2.4193,2.4422,1559
2011-09-20,2.4193,2.5517,2.3965,2.5517,789
2011-09-21,2.3783,2.5471,2.3783,2.465,3887
2011-09-22,2.465,2.5244,2.3098,2.3144,2815
2011-09-23,2.2824,2.3691,2.1956,2.3691,577
2011-09-26,2.1956,2.3691,2.1956,2.3691,2371
2011-09-27,2.3691,2.3691,2.2824,2.3691,1233
2011-09-28,2.3691,2.3691,2.2824,2.36,233
2011-09-29,2.36,2.36,2.36,2.36,2
2011-09-30,2.36,2.36,2.2824,2.3509,1593
2011-10-03,2.3554,2.3554,2.2413,2.328,2550
2011-10-04,2.328,2.328,2.2505,2.3189,381
2011-10-05,2.328,2.328,2.2596,2.2824,381
2011-10-06,2.2505,2.3098,2.2368,2.3098,927
2011-10-07,2.3144,2.3144,2.3053,2.3144,1541
2011-10-10,2.3144,2.3144,2.3144,2.3144,2
2011-10-11,2.2824,2.3235,2.2687,2.3235,8136
2011-10-12,2.3144,2.3144,2.2368,2.3144,6
2011-10-13,2.3098,2.3144,2.3098,2.3144,5
2011-10-14,2.3144,2.3144,2.2778,2.3144,524
2011-10-17,2.3189,2.328,2.3189,2.328,2870
2011-10-18,2.3144,2.3144,2.2413,2.2824,948
2011-10-19,2.2824,2.2824,2.2368,2.2824,793
2011-10-20,2.2094,2.2824,2.2094,2.2824,28
2011-10-21,2.3189,2.3189,2.3189,2.3189,5
2011-10-24,2.3053,2.3053,2.2184,2.2322,24932
2011-10-25,2.2184,2.3144,2.2184,2.3144,308
2011-10-26,2.2824,2.2824,2.2824,2.2824,2
2011-10-27,2.2596,2.2596,2.2368,2.2368,473
2011-10-28,2.2596,2.2596,2.2368,2.2596,2003
2011-10-31,2.255,2.255,2.1546,2.1546,2376
2011-11-02,2.1911,2.2322,2.1911,2.2322,809
2011-11-03,2.2276,2.2322,2.1454,2.2322,1892
2011-11-04,2.2322,2.2322,2.2322,2.2322,2
2011-11-07,2.2322,2.2322,2.2322,2.2322,2
2011-11-08,2.2322,2.2322,2.1454,2.2322,1542
2011-11-09,2.2322,2.2322,2.1227,2.2231,1138
2011-11-10,2.1272,2.2184,2.1227,2.2184,115
2011-11-14,2.2184,2.2184,2.1135,2.2139,193
2011-11-15,2.1363,2.1683,2.1317,2.1683,1936
2011-11-16,2.1683,2.1683,2.1683,2.1683,2
2011-11-17,2.1454,2.1683,2.077,2.1683,4269
2011-11-18,2.1683,2.1683,2.0815,2.1454,92
2011-11-21,2.0815,2.0815,1.9948,2.0313,6390
2011-11-22,2.0998,2.0998,2.0085,2.0085,3739
2011-11-23,2.0541,2.0541,1.9309,2.0313,4695
2011-11-24,2.0541,2.0541,1.9537,2.0085,890
2011-11-25,2.0085,2.0085,1.9172,1.9857,101
2011-11-28,2.004,2.004,1.8716,1.9172,3986
2011-11-29,1.9172,1.9172,1.9172,1.9172,5
2011-11-30,1.9172,1.9172,1.9126,1.9126,726
2011-12-01,1.8944,1.9126,1.8259,1.9126,3981
2011-12-02,1.9126,1.9172,1.9081,1.9172,22084
2011-12-05,1.9172,1.9994,1.9172,1.9857,3105
2011-12-06,1.9857,2.004,1.9172,2.004,2488
2011-12-07,2.004,2.1683,1.9857,2.0541,24798
2011-12-08,2.077,2.077,1.9948,2.0541,1754
2011-12-09,2.0176,2.0313,1.9948,2.0313,2170
2011-12-12,2.0313,2.0313,2.0085,2.0313,5713
2011-12-13,2.0085,2.077,2.0085,2.077,10083
2011-12-14,2.077,2.1363,2.077,2.1363,10747
2011-12-15,2.1409,2.1409,2.0998,2.1044,7706
2011-12-16,2.1044,2.1044,2.0862,2.0998,1166
2011-12-19,2.0998,2.1089,2.0085,2.1089,5761
2011-12-20,2.1089,2.2276,2.1089,2.2276,5148
2011-12-21,2.2322,2.2322,2.1729,2.1911,2478
2011-12-22,2.2276,2.2276,2.1637,2.2139,5079
2011-12-23,2.2139,2.2139,2.1637,2.1911,1254
2011-12-27,2.1956,2.1956,2.1637,2.1637,2967
2011-12-28,2.2322,2.2322,2.2276,2.2276,1135
2011-12-29,2.2276,2.2824,2.2002,2.2002,4326
2011-12-30,2.1925,2.4113,2.1925,2.4113,10515
2012-01-02,2.3007,2.3509,2.3007,2.3509,181
2012-01-03,2.3509,2.4102,2.3509,2.4102,47
2012-01-04,2.4011,2.4102,2.4011,2.4102,2193
2012-01-05,2.465,2.5106,2.4193,2.5106,4424
2012-01-09,2.5106,2.5106,2.4011,2.4011,868
2012-01-10,2.5106,2.5106,2.4193,2.4878,337
2012-01-11,2.506,2.5334,2.465,2.5334,3209
2012-01-12,2.7343,2.7343,2.5334,2.5334,4166
2012-01-13,2.4193,2.4193,2.4193,2.4193,603
2012-01-16,2.4193,2.5334,2.4193,2.4193,463
2012-01-17,2.5106,2.5106,2.4422,2.4422,222
2012-01-18,2.4467,2.5289,2.4467,2.5289,1611
2012-01-19,2.5289,2.5289,2.4239,2.5289,12906
2012-01-20,2.5106,2.5106,2.5106,2.5106,5
2012-01-23,2.5289,2.5289,2.4514,2.5244,2230
2012-01-24,2.5197,2.5197,2.433,2.5197,9056
2012-01-25,2.5152,2.5152,2.5152,2.5152,15
2012-01-26,2.5106,2.6338,2.5106,2.5791,9379
2012-01-27,2.6248,2.643,2.6248,2.643,603
2012-01-30,2.6385,2.6385,2.5197,2.6338,976
2012-01-31,2.6394,2.6813,2.5836,2.6813,3750
2012-02-01,2.6933,2.6933,2.6156,2.6156,1512
2012-02-02,2.6887,2.6933,2.6841,2.6933,3757
2012-02-03,2.6933,2.7343,2.6933,2.7343,5098
2012-02-06,2.7343,2.8119,2.7343,2.8073,8660
2012-02-07,2.8119,2.8119,2.7343,2.7845,1634
2012-02-08,2.7845,2.7845,2.78,2.78,1489
2012-02-09,2.78,2.8073,2.78,2.8073,6389
