Spółka,Kwartały,Wartość księgowa,Cena/WK,Zysk na akcję,Cena/Zysk,Przychód,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBIT,Wartość przedsiębiorstwa/EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach,Pokrycie kosztów kapitałem obrotowym,Rotacja należności,Cykl należności,Cykl zobowiązań,Rotacja zapasów,Cykl zapasów,Rotacja majątku obrotowego,Rotacja majątku trwałego,Rotacja majątku ogółem,Cykl operacyjny,Cykl konwersji gotówki
ACP,2004/Q4,6.55,4.26,0.02,1 313.53,23.01,1.21,1.03,27.17,-4.77,,33.99,1.48,21.97,33.10,0.32%,0.08%,4.46%,0.09%,5.43%,-1.11%,19.58%,4.06%,-1.68%,108.82%,0.73,2.84,0.63,0.34,0.93,0.42,1.34,0.77,292 874 000,9.04,127 506 000,3.94,0.57,0.93,0.16,0.89,0.96,0.32,0.55,-0.02,-0.04,2.89,126,229,19.74,18,1.66,2.00,0.91,144,-85
ACP,2005/Q4,11.27,3.46,1.75,22.32,21.18,1.84,2.06,18.94,-1.01,,42.91,2.03,17.52,20.83,15.50%,6.31%,9.72%,8.25%,7.95%,9.83%,18.06%,7.44%,105.47%,52.35%,0.59,1.45,0.41,0.32,1.29,0.58,1.07,0.97,279 022 000,4.52,98 395 000,1.60,0.91,1.29,0.21,1.25,1.31,0.45,0.75,0.13,0.22,3.46,105,145,20.74,18,1.96,2.10,1.01,123,-22
ACP,2006/Q1,11.50,3.30,1.86,20.40,21.42,1.77,2.27,16.70,-0.63,,41.02,1.91,15.17,18.07,16.16%,8.06%,10.59%,8.67%,8.84%,10.65%,19.51%,9.85%,93.44%,87.23%,0.49,0.97,0.31,0.41,1.21,0.65,1.06,0.98,212 622 000,3.12,78 573 000,1.15,0.92,1.20,0.19,1.21,1.38,0.36,0.78,0.13,0.17,3.41,107,139,19.01,19,1.94,1.93,0.97,126,-13
ACP,2006/Q2,11.24,3.21,1.60,22.52,22.77,1.59,1.77,20.41,-0.12,,40.74,1.79,18.06,23.03,14.26%,7.00%,7.77%,7.04%,8.16%,8.63%,20.15%,7.73%,67.33%,70.99%,0.50,1.03,0.36,0.35,1.33,0.67,1.01,0.99,174 591 000,3.08,116 720 000,2.06,0.98,1.33,0.19,1.43,1.52,0.61,0.73,0.17,0.22,3.51,104,134,20.23,18,1.92,1.94,0.96,122,-12
ACP,2006/Q3,12.43,3.22,2.27,17.60,24.26,1.65,1.64,24.33,0.55,72.68,44.14,1.82,21.08,26.84,18.28%,9.29%,6.78%,9.37%,7.38%,9.63%,18.31%,6.72%,62.28%,59.86%,0.49,0.96,0.33,0.34,1.38,0.68,0.96,0.99,175 272 000,3.32,104 270 000,1.98,1.03,1.38,0.19,1.51,1.60,0.64,0.81,0.19,0.24,3.67,100,130,23.43,16,1.95,2.01,0.99,116,-14
ACP,2006/Q4,13.52,3.71,2.96,16.95,19.77,2.54,1.80,27.96,2.15,23.33,53.98,2.73,23.45,30.07,21.91%,10.88%,9.08%,14.98%,9.70%,15.03%,23.40%,6.59%,269.95%,,0.50,1.00,0.32,0.27,1.55,0.65,0.86,1.01,175 935 000,3.04,95 252 000,1.64,1.18,1.55,0.20,1.62,1.69,0.71,0.83,0.24,0.44,3.11,117,149,18.62,20,1.58,1.67,0.81,137,-12
ACP,2007/Q1,31.72,2.30,1.97,36.98,13.02,5.60,1.55,46.88,3.87,18.83,68.94,5.30,35.99,44.37,6.21%,4.56%,11.94%,15.13%,12.37%,16.39%,26.53%,3.60%,117.11%,,0.23,0.31,0.08,0.52,1.16,0.79,0.72,0.77,115 653 000,1.30,-181 461 000,-2.04,1.07,1.16,0.66,1.79,1.87,1.00,0.73,0.15,0.69,3.29,111,144,22.34,16,1.48,1.07,0.62,127,-17
ACP,2007/Q2,32.13,2.65,2.50,33.96,16.85,5.04,2.32,36.64,3.20,26.55,81.84,4.86,29.63,35.28,7.79%,5.53%,13.77%,14.85%,13.86%,17.71%,27.32%,5.12%,98.88%,,0.24,0.34,0.07,0.60,1.10,0.76,0.77,0.80,221 545 000,1.73,-146 798 000,-1.14,1.03,1.10,0.47,1.57,1.65,0.72,0.79,0.12,0.47,3.43,106,136,24.43,15,1.57,0.92,0.58,121,-15
ACP,2007/Q3,31.33,2.37,2.82,26.32,20.64,3.59,3.37,22.02,-0.36,,72.35,3.50,18.33,21.48,8.99%,5.87%,16.31%,13.65%,15.99%,18.71%,30.59%,7.02%,95.41%,,0.29,0.45,0.12,0.39,1.02,0.73,1.03,0.94,418 913 000,2.29,-83 815 000,-0.46,0.91,1.02,0.29,1.27,1.33,0.49,0.73,0.07,0.25,3.47,105,138,25.70,14,1.66,0.81,0.55,119,-19
ACP,2007/Q4,37.64,1.95,3.15,23.34,25.10,2.93,4.63,15.87,-3.47,,74.14,2.95,13.80,16.01,8.37%,4.94%,18.45%,12.55%,18.06%,18.36%,33.84%,7.26%,328.26%,67.62%,0.35,0.59,0.26,0.19,1.05,0.74,1.19,0.99,806 277 000,2.94,32 642 000,0.12,0.84,1.05,0.38,1.43,1.49,0.51,0.88,0.10,0.39,3.48,105,132,27.52,13,1.78,0.76,0.53,118,-14
ACP,2008/Q1,38.50,1.89,3.67,19.78,29.11,2.49,5.46,13.29,-10.56,,77.24,2.65,12.29,14.14,9.53%,5.35%,18.76%,12.61%,18.45%,18.66%,35.30%,7.96%,247.16%,35.39%,0.38,0.68,0.30,0.16,0.94,0.73,1.68,1.22,1 053 090 000,3.28,237 230 000,0.74,0.72,0.94,0.25,1.02,1.08,0.38,0.59,0.02,0.06,3.58,102,138,28.23,13,1.96,0.74,0.54,115,-23
ACP,2008/Q2,34.52,1.65,3.28,17.37,25.12,2.27,4.62,12.33,-5.23,,59.48,2.37,10.80,12.86,9.51%,5.04%,18.41%,13.06%,18.27%,19.42%,34.98%,7.10%,266.44%,78.70%,0.35,0.66,0.28,0.50,0.93,0.68,1.30,0.94,1 263 274 000,2.96,192 258 000,0.45,0.73,0.93,0.30,1.25,1.32,0.50,0.69,0.07,0.28,3.77,97,135,27.72,13,2.08,0.76,0.56,110,-25
ACP,2008/Q3,35.41,1.75,3.69,16.77,30.74,2.01,5.58,11.10,-4.32,,64.03,2.08,9.57,11.48,10.43%,5.78%,18.14%,12.01%,18.07%,18.25%,34.93%,8.72%,150.13%,79.81%,0.32,0.59,0.26,0.51,0.94,0.70,1.26,0.94,1 222 278 000,2.36,165 259 000,0.32,0.75,0.94,0.31,1.38,1.43,0.43,0.82,0.08,0.26,3.90,93,126,30.94,12,2.17,0.77,0.57,105,-21
ACP,2008/Q4,43.87,1.08,4.15,11.43,35.93,1.32,6.37,7.44,-6.26,,46.89,1.31,6.15,7.36,9.45%,5.61%,17.74%,11.54%,17.83%,17.70%,35.04%,8.63%,65.92%,54.36%,0.34,0.57,0.24,0.42,0.99,0.73,1.33,1.06,1 435 049 000,2.42,-39 248 000,-0.07,0.80,0.99,0.40,1.22,1.28,0.45,0.72,0.06,0.19,4.13,88,125,32.15,11,2.28,0.78,0.58,99,-26
ACP,2009/Q1,45.94,0.95,4.46,9.81,39.73,1.10,6.83,6.40,-6.20,,44.70,1.12,5.40,6.55,9.70%,5.95%,17.18%,11.21%,17.22%,16.90%,34.18%,9.11%,73.61%,361.18%,0.32,0.52,0.22,0.45,0.98,0.75,1.35,1.08,1 427 340 000,2.22,77 217 000,0.12,0.80,0.98,0.34,1.22,1.27,0.39,0.74,0.05,0.15,4.02,91,123,33.53,11,2.25,0.77,0.57,102,-21
ACP,2009/Q2,45.61,1.19,4.48,12.16,39.14,1.39,7.05,7.72,-2.56,,56.02,1.43,6.63,7.94,9.82%,6.33%,18.02%,11.44%,17.95%,16.44%,35.35%,9.97%,71.05%,137.20%,0.26,0.40,0.13,0.78,0.93,0.73,1.17,0.96,1 079 143 000,1.65,121 939 000,0.19,0.83,0.93,0.30,1.21,1.26,0.34,0.78,0.04,0.13,3.93,93,122,37.52,10,2.29,0.73,0.55,103,-19
ACP,2009/Q3,46.46,1.33,4.81,12.86,38.44,1.61,7.05,8.77,-0.59,,62.16,1.62,7.35,8.82,10.34%,6.71%,18.34%,12.50%,18.01%,17.52%,35.43%,9.84%,74.17%,90.57%,0.23,0.36,0.11,0.89,0.93,0.72,1.04,0.87,915 042 000,1.40,28 052 000,0.04,0.84,0.93,0.40,1.31,1.39,0.42,0.80,0.06,0.19,3.88,94,125,33.69,11,2.26,0.69,0.53,105,-20
ACP,2009/Q4,47.47,1.33,4.81,13.08,39.32,1.60,6.78,9.29,-1.34,,62.90,1.60,7.55,9.28,10.14%,6.53%,17.23%,12.24%,17.05%,16.81%,34.20%,9.19%,85.10%,137.45%,0.24,0.38,0.13,0.78,0.94,0.73,1.08,0.90,1 043 367 000,1.62,-3 600 000,-0.01,0.83,0.94,0.37,1.34,1.39,0.38,0.88,0.06,0.19,3.97,92,116,37.69,10,2.39,0.70,0.54,102,-14
